miRNA	Gene	Score
hsa-miR-450a-2-3p	FGF22	0.0
hsa-miR-6793-3p	FGF22	0.433
hsa-miR-6793-3p	AMBP	0.155
hsa-miR-3622a-3p	AMBP	0.028
hsa-miR-3622a-3p	FGF22	0.253
hsa-miR-541-5p	FGF22	0.0
hsa-miR-541-5p	AMBP	0.0
hsa-miR-6515-3p	FGF22	0.771
hsa-miR-6515-3p	AMBP	0.407
hsa-miR-1276	AMBP	0.0
hsa-miR-1276	FGF22	0.0
hsa-miR-6499-3p	AMBP	0.0
hsa-miR-6499-3p	FGF22	0.654
hsa-miR-2276-3p	FGF22	0.0
hsa-miR-2276-3p	AMBP	0.0
hsa-miR-3120-3p	AMBP	0.467
hsa-miR-3120-3p	FGF22	0.453
hsa-miR-6780b-5p	FGF22	0.352
hsa-miR-6780b-5p	AMBP	0.189
hsa-miR-4769-5p	AMBP	0.0
hsa-miR-4769-5p	FGF22	0.0
hsa-miR-1306-5p	FGF22	0.294
hsa-miR-519b-3p	AMBP	0.0
hsa-miR-519b-3p	FGF22	0.0
hsa-miR-489-3p	AMBP	0.0
hsa-miR-489-3p	FGF22	0.0
hsa-miR-23a-3p	AMBP	0.145
hsa-miR-23a-3p	FGF22	0.473
hsa-miR-6796-5p	AMBP	0.0
hsa-miR-6796-5p	FGF22	0.144
hsa-miR-675-3p	FGF22	1.125
hsa-miR-675-3p	AMBP	0.58
hsa-miR-2110	FGF22	0.0
hsa-miR-2110	AMBP	0.328
hsa-miR-1269a	AMBP	0.0
hsa-miR-1269a	FGF22	0.637
hsa-miR-483-3p	FGF22	0.337
hsa-miR-483-3p	AMBP	0.329
hsa-miR-4659a-3p	AMBP	0.0
hsa-miR-4659a-3p	FGF22	0.0
hsa-miR-146a-5p	AMBP	0.0
hsa-miR-146a-5p	FGF22	0.0
hsa-miR-1289	FGF22	0.0
hsa-miR-1289	AMBP	0.141
hsa-miR-563	AMBP	0.889
hsa-miR-563	FGF22	0.897
hsa-miR-425-3p	FGF22	0.158
hsa-miR-425-3p	AMBP	0.0
hsa-miR-4474-3p	FGF22	0.292
hsa-miR-4474-3p	AMBP	0.128
hsa-miR-5002-5p	AMBP	0.0
hsa-miR-5002-5p	FGF22	0.0
hsa-miR-3672	AMBP	0.0
hsa-miR-3672	FGF22	0.0
hsa-let-7a-3p	AMBP	0.0
hsa-let-7a-3p	FGF22	0.0
hsa-miR-4488	AMBP	0.0
hsa-miR-4488	FGF22	0.887
hsa-miR-3691-5p	AMBP	0.0
hsa-miR-3691-5p	FGF22	0.0
hsa-miR-3688-5p	FGF22	0.265
hsa-miR-3688-5p	AMBP	0.198
hsa-miR-532-3p	AMBP	0.0
hsa-miR-532-3p	FGF22	0.055
hsa-miR-4747-5p	FGF22	0.0
hsa-miR-4747-5p	AMBP	0.0
hsa-miR-6813-3p	AMBP	0.15
hsa-miR-6813-3p	FGF22	0.37
hsa-miR-3150b-3p	AMBP	0.0
hsa-miR-3150b-3p	FGF22	0.372
hsa-miR-6858-5p	AMBP	0.157
hsa-miR-6858-5p	FGF22	0.539
hsa-miR-6768-3p	FGF22	0.0
hsa-miR-6768-3p	AMBP	0.0
hsa-miR-4797-3p	AMBP	0.0
hsa-miR-4797-3p	FGF22	0.285
hsa-miR-4684-5p	AMBP	0.0
hsa-miR-4684-5p	FGF22	0.108
hsa-miR-4638-5p	AMBP	0.051
hsa-miR-4638-5p	FGF22	0.31
hsa-miR-4300	AMBP	0.223
hsa-miR-4300	FGF22	0.931
hsa-miR-6868-3p	AMBP	0.0
hsa-miR-6868-3p	FGF22	0.873
hsa-miR-101-5p	FGF22	0.0
hsa-miR-101-5p	AMBP	0.0
hsa-miR-4650-3p	AMBP	0.0
hsa-miR-4650-3p	FGF22	0.0
hsa-miR-6771-3p	FGF22	0.394
hsa-miR-6771-3p	AMBP	0.0
hsa-miR-6748-3p	FGF22	0.597
hsa-miR-6748-3p	AMBP	0.711
hsa-miR-1248	FGF22	0.0
hsa-miR-1248	AMBP	0.0
hsa-miR-4463	FGF22	0.541
hsa-miR-4463	AMBP	1.232
hsa-miR-6794-5p	AMBP	0.241
hsa-miR-6794-5p	FGF22	0.453
hsa-miR-4763-5p	AMBP	0.532
hsa-miR-4763-5p	FGF22	0.388
hsa-miR-6132	FGF22	0.198
hsa-miR-6132	AMBP	0.088
hsa-miR-1306-3p	FGF22	0.141
hsa-miR-1306-3p	AMBP	0.0
hsa-miR-579-5p	AMBP	0.0
hsa-miR-579-5p	FGF22	0.151
hsa-miR-3917	FGF22	0.705
hsa-miR-3917	AMBP	0.0
hsa-miR-4793-3p	AMBP	0.0
hsa-miR-4793-3p	FGF22	0.265
hsa-miR-575	FGF22	0.889
hsa-miR-575	AMBP	0.0
hsa-miR-496	AMBP	0.0
hsa-miR-496	FGF22	0.0
hsa-miR-320c	FGF22	0.0
hsa-miR-320c	AMBP	0.0
hsa-miR-6818-3p	AMBP	0.0
hsa-miR-6818-3p	FGF22	0.0
hsa-miR-3162-3p	AMBP	0.0
hsa-miR-3162-3p	FGF22	0.72
hsa-miR-661	FGF22	0.328
hsa-miR-661	AMBP	0.093
hsa-miR-6797-5p	AMBP	0.0
hsa-miR-6797-5p	FGF22	0.0
hsa-miR-5705	FGF22	0.045
hsa-miR-5705	AMBP	0.0
hsa-miR-6767-3p	FGF22	0.737
hsa-miR-6767-3p	AMBP	0.146
hsa-miR-4722-5p	AMBP	0.034
hsa-miR-4722-5p	FGF22	0.054
hsa-miR-4477a	AMBP	0.0
hsa-miR-4477a	FGF22	0.0
hsa-miR-375	FGF22	0.239
hsa-miR-375	AMBP	0.0
hsa-miR-424-3p	AMBP	0.0
hsa-miR-424-3p	FGF22	0.0
hsa-miR-499b-3p	AMBP	0.0
hsa-miR-499b-3p	FGF22	0.0
hsa-miR-1277-5p	FGF22	0.0
hsa-miR-1277-5p	AMBP	0.0
hsa-miR-1238-5p	FGF22	0.735
hsa-miR-4799-5p	AMBP	0.051
hsa-miR-4799-5p	FGF22	0.0
hsa-miR-3074-5p	AMBP	0.305
hsa-miR-3074-5p	FGF22	0.707
hsa-miR-95-5p	FGF22	0.0
hsa-miR-95-5p	AMBP	0.0
hsa-miR-7157-5p	FGF22	0.266
hsa-miR-7157-5p	AMBP	0.026
hsa-miR-4436a	AMBP	0.0
hsa-miR-4436a	FGF22	0.0
hsa-miR-4634	FGF22	0.653
hsa-miR-4634	AMBP	0.206
hsa-miR-664b-5p	FGF22	0.145
hsa-miR-664b-5p	AMBP	0.0
hsa-miR-4525	AMBP	0.257
hsa-miR-4525	FGF22	0.486
hsa-miR-486-3p	AMBP	0.339
hsa-miR-486-3p	FGF22	0.381
hsa-miR-302c-5p	AMBP	0.0
hsa-miR-302c-5p	FGF22	0.0
hsa-miR-449a	AMBP	0.226
hsa-miR-449a	FGF22	0.449
hsa-miR-5001-5p	FGF22	0.0
hsa-miR-5001-5p	AMBP	0.0
hsa-miR-4765	FGF22	0.0
hsa-miR-4765	AMBP	0.0
hsa-miR-3619-5p	AMBP	0.0
hsa-miR-3619-5p	FGF22	0.063
hsa-miR-7113-5p	FGF22	0.0
hsa-miR-7113-5p	AMBP	0.0
hsa-miR-766-3p	FGF22	0.336
hsa-miR-766-3p	AMBP	0.0
hsa-miR-487b-3p	FGF22	0.0
hsa-miR-487b-3p	AMBP	0.309
hsa-miR-330-3p	AMBP	0.0
hsa-miR-330-3p	FGF22	0.0
hsa-miR-4257	AMBP	0.287
hsa-miR-4257	FGF22	0.66
hsa-miR-4264	AMBP	0.818
hsa-miR-4264	FGF22	0.762
hsa-miR-489-5p	AMBP	0.1
hsa-miR-489-5p	FGF22	0.229
hsa-miR-92b-5p	AMBP	0.281
hsa-miR-92b-5p	FGF22	0.194
hsa-miR-6829-3p	FGF22	0.879
hsa-miR-6829-3p	AMBP	0.75
hsa-miR-6766-3p	FGF22	0.471
hsa-miR-6766-3p	AMBP	0.0
hsa-miR-5584-5p	AMBP	0.0
hsa-miR-5584-5p	FGF22	0.0
hsa-miR-4710	AMBP	0.389
hsa-miR-4710	FGF22	1.062
hsa-miR-3910	AMBP	0.0
hsa-miR-3910	FGF22	0.43
hsa-miR-885-5p	FGF22	0.625
hsa-miR-885-5p	AMBP	0.031
hsa-miR-302e	AMBP	0.112
hsa-miR-302e	FGF22	0.198
hsa-miR-4715-3p	AMBP	0.112
hsa-miR-4715-3p	FGF22	0.128
hsa-miR-1282	FGF22	0.723
hsa-miR-1282	AMBP	0.0
hsa-miR-3124-5p	AMBP	0.676
hsa-miR-3124-5p	FGF22	0.0
hsa-miR-4750-5p	AMBP	0.0
hsa-miR-4750-5p	FGF22	0.0
hsa-miR-191-3p	FGF22	0.15
hsa-miR-191-3p	AMBP	0.0
hsa-miR-6841-3p	AMBP	0.365
hsa-miR-6841-3p	FGF22	0.363
hsa-miR-1301-5p	FGF22	1.068
hsa-miR-1301-5p	AMBP	0.406
hsa-miR-3928-3p	FGF22	0.0
hsa-miR-3928-3p	AMBP	0.0
hsa-miR-6799-5p	FGF22	0.446
hsa-miR-6799-5p	AMBP	0.333
hsa-miR-20a-3p	AMBP	0.196
hsa-miR-20a-3p	FGF22	0.0
hsa-miR-6787-3p	FGF22	0.373
hsa-miR-6787-3p	AMBP	0.071
hsa-miR-1915-3p	FGF22	0.657
hsa-miR-1915-3p	AMBP	0.568
hsa-miR-603	FGF22	0.0
hsa-miR-603	AMBP	0.0
hsa-miR-32-5p	AMBP	0.0
hsa-miR-32-5p	FGF22	0.0
hsa-miR-5706	AMBP	0.011
hsa-miR-5706	FGF22	0.0
hsa-miR-6778-5p	FGF22	0.0
hsa-miR-6778-5p	AMBP	0.049
hsa-miR-1301-3p	AMBP	0.275
hsa-miR-1301-3p	FGF22	0.0
hsa-miR-1273f	AMBP	0.815
hsa-miR-1273f	FGF22	0.603
hsa-miR-4777-5p	AMBP	0.0
hsa-miR-4777-5p	FGF22	0.0
hsa-miR-3938	AMBP	0.0
hsa-miR-3938	FGF22	0.435
hsa-miR-371b-3p	FGF22	0.0
hsa-miR-371b-3p	AMBP	0.0
hsa-miR-7112-3p	FGF22	0.0
hsa-miR-7112-3p	AMBP	0.0
hsa-miR-370-3p	FGF22	0.368
hsa-miR-370-3p	AMBP	0.669
hsa-miR-574-3p	FGF22	0.485
hsa-miR-574-3p	AMBP	0.0
hsa-miR-4751	AMBP	0.0
hsa-miR-4751	FGF22	0.0
hsa-miR-8071	FGF22	0.991
hsa-miR-8071	AMBP	0.516
hsa-miR-23a-5p	AMBP	0.289
hsa-miR-23a-5p	FGF22	0.405
hsa-miR-329-5p	FGF22	0.0
hsa-miR-329-5p	AMBP	0.0
hsa-miR-372-3p	FGF22	0.0
hsa-miR-4479	FGF22	0.767
hsa-miR-4479	AMBP	0.0
hsa-miR-105-3p	FGF22	0.063
hsa-miR-105-3p	AMBP	0.036
hsa-miR-4326	AMBP	0.149
hsa-miR-4326	FGF22	0.519
hsa-let-7b-5p	AMBP	0.0
hsa-let-7b-5p	FGF22	0.0
hsa-miR-6751-5p	AMBP	0.0
hsa-miR-6751-5p	FGF22	0.274
hsa-miR-3192-3p	FGF22	0.416
hsa-miR-3192-3p	AMBP	0.262
hsa-miR-6856-3p	AMBP	0.237
hsa-miR-6856-3p	FGF22	0.0
hsa-miR-6807-5p	FGF22	0.304
hsa-miR-6807-5p	AMBP	0.0
hsa-miR-6735-5p	AMBP	0.0
hsa-miR-6735-5p	FGF22	0.0
hsa-miR-5680	AMBP	0.0
hsa-miR-5680	FGF22	0.0
hsa-miR-30a-5p	AMBP	0.0
hsa-miR-30a-5p	FGF22	0.0
hsa-miR-1207-5p	FGF22	0.365
hsa-miR-1207-5p	AMBP	0.0
hsa-miR-6844	AMBP	0.0
hsa-miR-6844	FGF22	0.372
hsa-miR-4438	AMBP	0.822
hsa-miR-4438	FGF22	0.765
hsa-miR-3189-3p	AMBP	0.0
hsa-miR-3189-3p	FGF22	1.17
hsa-miR-6880-5p	AMBP	0.0
hsa-miR-6880-5p	FGF22	0.432
hsa-miR-6805-3p	FGF22	0.359
hsa-miR-6805-3p	AMBP	0.048
hsa-miR-302b-5p	AMBP	0.0
hsa-miR-302b-5p	FGF22	0.0
hsa-miR-623	FGF22	0.0
hsa-miR-623	AMBP	0.238
hsa-miR-875-3p	AMBP	0.0
hsa-miR-875-3p	FGF22	0.0
hsa-miR-6869-3p	FGF22	0.71
hsa-miR-6869-3p	AMBP	0.204
hsa-miR-657	FGF22	0.0
hsa-miR-657	AMBP	0.0
hsa-miR-4689	FGF22	0.018
hsa-miR-4689	AMBP	0.0
hsa-miR-136-3p	AMBP	0.0
hsa-miR-136-3p	FGF22	0.0
hsa-miR-519a-3p	FGF22	0.0
hsa-miR-519a-3p	AMBP	0.0
hsa-miR-5003-3p	FGF22	0.0
hsa-miR-5003-3p	AMBP	0.0
hsa-miR-576-5p	FGF22	0.0
hsa-miR-576-5p	AMBP	0.0
hsa-miR-371a-3p	AMBP	0.0
hsa-miR-371a-3p	FGF22	0.0
hsa-miR-6762-3p	AMBP	0.113
hsa-miR-6762-3p	FGF22	0.0
hsa-miR-586	FGF22	0.0
hsa-miR-586	AMBP	0.0
hsa-miR-621	FGF22	0.0
hsa-miR-621	AMBP	0.0
hsa-miR-6791-3p	AMBP	0.0
hsa-miR-6791-3p	FGF22	0.574
hsa-miR-4664-5p	FGF22	0.0
hsa-miR-4664-5p	AMBP	0.0
hsa-miR-4436b-3p	AMBP	0.207
hsa-miR-4436b-3p	FGF22	0.211
hsa-miR-3150a-5p	FGF22	0.0
hsa-miR-3150a-5p	AMBP	0.0
hsa-miR-3692-3p	AMBP	0.0
hsa-miR-3692-3p	FGF22	0.0
hsa-miR-338-5p	FGF22	0.0
hsa-miR-338-5p	AMBP	0.0
hsa-miR-4693-3p	FGF22	0.0
hsa-miR-4693-3p	AMBP	0.0
hsa-miR-543	AMBP	0.0
hsa-miR-543	FGF22	0.0
hsa-miR-151b	AMBP	0.221
hsa-miR-151b	FGF22	0.621
hsa-miR-211-3p	AMBP	0.762
hsa-miR-211-3p	FGF22	0.6
hsa-miR-7150	FGF22	0.856
hsa-miR-7150	AMBP	0.073
hsa-miR-4445-3p	AMBP	0.0
hsa-miR-4445-3p	FGF22	0.477
hsa-miR-96-5p	AMBP	0.145
hsa-miR-96-5p	FGF22	0.0
hsa-miR-5579-5p	AMBP	0.0
hsa-miR-5579-5p	FGF22	0.0
hsa-miR-887-3p	FGF22	0.195
hsa-miR-887-3p	AMBP	0.0
hsa-miR-593-5p	FGF22	0.0
hsa-miR-593-5p	AMBP	0.0
hsa-miR-3689a-5p	FGF22	0.0
hsa-miR-3689a-5p	AMBP	0.0
hsa-miR-618	AMBP	0.0
hsa-miR-618	FGF22	0.0
hsa-miR-6504-3p	AMBP	0.075
hsa-miR-6504-3p	FGF22	0.475
hsa-miR-4282	AMBP	0.0
hsa-miR-4282	FGF22	0.185
hsa-miR-1228-3p	FGF22	0.56
hsa-miR-1228-3p	AMBP	0.0
hsa-miR-106a-3p	AMBP	0.0
hsa-miR-106a-3p	FGF22	0.0
hsa-miR-491-5p	AMBP	0.0
hsa-miR-491-5p	FGF22	0.0
hsa-miR-4685-3p	FGF22	0.379
hsa-miR-4685-3p	AMBP	0.0
hsa-miR-548al	AMBP	0.0
hsa-miR-548al	FGF22	0.0
hsa-miR-6765-3p	AMBP	0.056
hsa-miR-6765-3p	FGF22	0.373
hsa-miR-511-3p	AMBP	0.0
hsa-miR-511-3p	FGF22	0.0
hsa-miR-4286	AMBP	0.118
hsa-miR-4286	FGF22	0.804
hsa-miR-627-3p	FGF22	0.0
hsa-miR-627-3p	AMBP	0.0
hsa-miR-644a	FGF22	0.0
hsa-miR-644a	AMBP	0.0
hsa-miR-124-5p	FGF22	0.0
hsa-miR-124-5p	AMBP	0.0
hsa-miR-6887-3p	FGF22	0.754
hsa-miR-6887-3p	AMBP	0.085
hsa-miR-4449	FGF22	0.0
hsa-miR-4449	AMBP	0.0
hsa-miR-641	FGF22	0.0
hsa-miR-641	AMBP	0.0
hsa-miR-1285-3p	AMBP	0.226
hsa-miR-1285-3p	FGF22	0.07
hsa-miR-1193	FGF22	0.0
hsa-miR-1193	AMBP	0.0
hsa-miR-3153	AMBP	0.0
hsa-miR-3153	FGF22	0.0
hsa-miR-30a-3p	FGF22	0.81
hsa-miR-30a-3p	AMBP	0.425
hsa-miR-4312	FGF22	1.029
hsa-miR-4312	AMBP	0.935
hsa-miR-5006-5p	FGF22	0.888
hsa-miR-5006-5p	AMBP	0.0
hsa-miR-525-5p	AMBP	0.0
hsa-miR-525-5p	FGF22	0.0
hsa-miR-6733-3p	AMBP	0.105
hsa-miR-6733-3p	FGF22	0.63
hsa-miR-4711-3p	AMBP	0.768
hsa-miR-4711-3p	FGF22	0.76
hsa-miR-20b-5p	FGF22	0.0
hsa-miR-20b-5p	AMBP	0.0
hsa-miR-5699-5p	FGF22	0.271
hsa-miR-5699-5p	AMBP	0.0
hsa-miR-1260a	FGF22	1.155
hsa-miR-1260a	AMBP	0.409
hsa-miR-5692c	AMBP	0.0
hsa-miR-5692c	FGF22	0.0
hsa-miR-3161	AMBP	0.0
hsa-miR-3161	FGF22	0.0
hsa-miR-3591-5p	FGF22	0.0
hsa-miR-3591-5p	AMBP	0.0
hsa-miR-6763-3p	FGF22	0.853
hsa-miR-6763-3p	AMBP	0.538
hsa-miR-92a-1-5p	FGF22	0.0
hsa-miR-92a-1-5p	AMBP	0.0
hsa-miR-548h-3p	FGF22	0.0
hsa-miR-548h-3p	AMBP	0.0
hsa-miR-4297	FGF22	0.843
hsa-miR-4297	AMBP	0.867
hsa-miR-4457	FGF22	0.0
hsa-miR-4457	AMBP	0.0
hsa-miR-3680-3p	AMBP	0.0
hsa-miR-3680-3p	FGF22	0.0
hsa-miR-2392	FGF22	0.0
hsa-miR-2392	AMBP	0.332
hsa-miR-548t-3p	AMBP	0.0
hsa-miR-548t-3p	FGF22	0.0
hsa-miR-4784	AMBP	0.0
hsa-miR-4784	FGF22	0.0
hsa-miR-2682-3p	AMBP	0.385
hsa-miR-2682-3p	FGF22	0.619
hsa-miR-1273c	FGF22	0.02
hsa-miR-1273c	AMBP	0.0
hsa-miR-7112-5p	FGF22	0.463
hsa-miR-7112-5p	AMBP	0.0
hsa-miR-5690	FGF22	0.061
hsa-miR-5690	AMBP	0.0
hsa-miR-5011-3p	AMBP	0.0
hsa-miR-5011-3p	FGF22	0.0
hsa-miR-4431	AMBP	0.0
hsa-miR-4431	FGF22	0.0
hsa-miR-4418	FGF22	0.745
hsa-miR-4418	AMBP	2.143
hsa-miR-891a-5p	FGF22	0.0
hsa-miR-891a-5p	AMBP	0.0
hsa-miR-378f	FGF22	0.723
hsa-miR-378f	AMBP	0.027
hsa-miR-183-3p	AMBP	0.0
hsa-miR-183-3p	FGF22	0.0
hsa-miR-3119	FGF22	0.965
hsa-miR-3119	AMBP	0.502
hsa-miR-4640-3p	AMBP	0.422
hsa-miR-4640-3p	FGF22	0.444
hsa-miR-3606-3p	FGF22	0.0
hsa-miR-3606-3p	AMBP	0.0
hsa-miR-106b-5p	FGF22	0.0
hsa-miR-106b-5p	AMBP	0.0
hsa-miR-4712-5p	AMBP	0.0
hsa-miR-4712-5p	FGF22	0.084
hsa-miR-147b	FGF22	0.0
hsa-miR-147b	AMBP	0.0
hsa-miR-379-5p	FGF22	0.0
hsa-miR-379-5p	AMBP	0.0
hsa-miR-4678	AMBP	0.0
hsa-miR-4678	FGF22	0.0
hsa-miR-3126-5p	AMBP	0.0
hsa-miR-3126-5p	FGF22	0.0
hsa-miR-6069	FGF22	0.241
hsa-miR-6069	AMBP	0.0
hsa-miR-1255b-5p	AMBP	0.0
hsa-miR-1255b-5p	FGF22	0.508
hsa-miR-6715a-3p	FGF22	0.0
hsa-miR-6715a-3p	AMBP	0.0
hsa-miR-4276	AMBP	0.758
hsa-miR-4276	FGF22	1.631
hsa-miR-6812-3p	AMBP	0.121
hsa-miR-6812-3p	FGF22	1.059
hsa-miR-4680-3p	AMBP	0.0
hsa-miR-4680-3p	FGF22	0.0
hsa-let-7g-5p	AMBP	0.0
hsa-let-7g-5p	FGF22	0.0
hsa-miR-4757-3p	FGF22	0.142
hsa-miR-4757-3p	AMBP	0.0
hsa-miR-4731-3p	AMBP	0.0
hsa-miR-4731-3p	FGF22	0.0
hsa-miR-4645-5p	AMBP	0.0
hsa-miR-4645-5p	FGF22	0.0
hsa-miR-4304	AMBP	0.839
hsa-miR-4304	FGF22	0.81
hsa-miR-4511	AMBP	0.0
hsa-miR-4511	FGF22	0.0
hsa-miR-3658	AMBP	0.084
hsa-miR-3658	FGF22	0.0
hsa-miR-197-5p	FGF22	0.122
hsa-miR-197-5p	AMBP	0.0
hsa-miR-34b-3p	AMBP	0.0
hsa-miR-34b-3p	FGF22	0.0
hsa-miR-6846-5p	AMBP	0.0
hsa-miR-6846-5p	FGF22	0.0
hsa-miR-580-5p	FGF22	0.0
hsa-miR-580-5p	AMBP	0.0
hsa-miR-519e-5p	AMBP	0.033
hsa-miR-519e-5p	FGF22	0.0
hsa-miR-6715b-3p	FGF22	0.0
hsa-miR-6715b-3p	AMBP	0.0
hsa-miR-494-5p	AMBP	0.0
hsa-miR-494-5p	FGF22	0.315
hsa-miR-106a-5p	FGF22	0.0
hsa-miR-106a-5p	AMBP	0.0
hsa-miR-4714-5p	AMBP	0.0
hsa-miR-4714-5p	FGF22	0.0
hsa-miR-599	FGF22	0.0
hsa-miR-5697	AMBP	0.0
hsa-miR-5697	FGF22	0.118
hsa-miR-216b-3p	FGF22	0.0
hsa-miR-216b-3p	AMBP	0.0
hsa-miR-4682	AMBP	0.048
hsa-miR-4682	FGF22	0.176
hsa-miR-3692-5p	AMBP	0.07
hsa-miR-3692-5p	FGF22	0.0
hsa-miR-4519	FGF22	0.785
hsa-miR-4519	AMBP	1.523
hsa-miR-6801-5p	AMBP	0.0
hsa-miR-6801-5p	FGF22	0.0
hsa-miR-548v	AMBP	0.352
hsa-miR-548v	FGF22	0.323
hsa-miR-3661	AMBP	0.285
hsa-miR-3661	FGF22	0.552
hsa-miR-4791	AMBP	0.618
hsa-miR-4791	FGF22	1.131
hsa-miR-4638-3p	AMBP	0.001
hsa-miR-4638-3p	FGF22	0.34
hsa-miR-214-5p	FGF22	0.23
hsa-miR-214-5p	AMBP	0.26
hsa-miR-513b-3p	FGF22	0.0
hsa-miR-513b-3p	AMBP	0.0
hsa-miR-6500-3p	AMBP	0.416
hsa-miR-6500-3p	FGF22	0.303
hsa-miR-1296-5p	FGF22	0.469
hsa-miR-1296-5p	AMBP	0.0
hsa-miR-635	FGF22	0.0
hsa-miR-635	AMBP	0.0
hsa-miR-6892-5p	AMBP	0.0
hsa-miR-6892-5p	FGF22	0.0
hsa-miR-328-3p	AMBP	0.052
hsa-miR-328-3p	FGF22	0.114
hsa-miR-372-5p	AMBP	0.0
hsa-miR-372-5p	FGF22	0.0
hsa-miR-1291	FGF22	0.0
hsa-miR-1291	AMBP	0.126
hsa-miR-3912-3p	AMBP	0.302
hsa-miR-3912-3p	FGF22	0.0
hsa-miR-190b	FGF22	0.0
hsa-miR-190b	AMBP	0.0
hsa-miR-4673	AMBP	0.0
hsa-miR-4673	FGF22	0.0
hsa-miR-885-3p	AMBP	0.0
hsa-miR-885-3p	FGF22	0.15
hsa-miR-6075	AMBP	0.0
hsa-miR-6075	FGF22	0.173
hsa-miR-495-5p	FGF22	0.0
hsa-miR-495-5p	AMBP	0.0
hsa-miR-4759	AMBP	0.333
hsa-miR-4759	FGF22	0.0
hsa-miR-141-5p	FGF22	0.0
hsa-miR-141-5p	AMBP	0.0
hsa-miR-4484	FGF22	0.0
hsa-miR-4484	AMBP	0.0
hsa-miR-643	AMBP	0.0
hsa-miR-643	FGF22	0.0
hsa-miR-4676-3p	FGF22	0.341
hsa-miR-4676-3p	AMBP	0.305
hsa-miR-3169	AMBP	0.0
hsa-miR-3169	FGF22	0.0
hsa-miR-4735-5p	FGF22	0.0
hsa-miR-4735-5p	AMBP	0.0
hsa-miR-4756-3p	AMBP	0.0
hsa-miR-4756-3p	FGF22	0.282
hsa-miR-1908-5p	AMBP	0.0
hsa-miR-1908-5p	FGF22	0.125
hsa-miR-2277-3p	FGF22	0.446
hsa-miR-2277-3p	AMBP	0.206
hsa-miR-3162-5p	FGF22	0.0
hsa-miR-3162-5p	AMBP	0.082
hsa-miR-551b-3p	AMBP	0.101
hsa-miR-551b-3p	FGF22	0.0
hsa-miR-5739	FGF22	0.36
