Function ID	Function Description
70	positive regulation of insulin receptor signaling pathway [GO:0046628]
71	positive regulation of interleukin-17 production [GO:0032740]
72	positive regulation of SREBP signaling pathway [GO:2000640]
73	response to insulin [GO:0032868]
74	transcription by RNA polymerase II [GO:0006366]
75	anatomical structure development [GO:0048856]
76	developmental pigmentation [GO:0048066]
77	melanocyte migration [GO:0097324]
78	nervous system development [GO:0007399]
79	positive regulation of canonical Wnt signaling pathway [GO:0090263]
80	positive regulation of melanin biosynthetic process [GO:0048023]
81	positive regulation of melanocyte differentiation [GO:0045636]
82	positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]
83	regulation of melanosome organization [GO:1903056]
84	positive regulation of translation [GO:0045727]
85	rRNA methylation [GO:0031167]
86	negative regulation of CD4-positive, alpha-beta T cell proliferation [GO:2000562]
87	negative regulation of CD8-positive, alpha-beta T cell proliferation [GO:2000565]
88	negative regulation of interferon-gamma production [GO:0032689]
89	negative regulation of interleukin-10 production [GO:0032693]
90	negative regulation of interleukin-17 production [GO:0032700]
91	negative regulation of tumor necrosis factor production [GO:0032720]
92	positive regulation of cell migration [GO:0030335]
93	positive regulation of collagen catabolic process [GO:0120158]
94	positive regulation of endopeptidase activity [GO:0010950]
95	positive regulation of regulatory T cell differentiation [GO:0045591]
96	regulation of immune response [GO:0050776]
97	zymogen activation [GO:0031638]
98	cell division [GO:0051301]
99	mitotic cell cycle [GO:0000278]
100	negative regulation of chromatin binding [GO:0035562]
101	negative regulation of DNA replication [GO:0008156]
102	negative regulation of sister chromatid cohesion [GO:0045875]
103	positive regulation of fibroblast proliferation [GO:0048146]
104	protein localization to chromatin [GO:0071168]
105	regulation of chromosome condensation [GO:0060623]
106	regulation of chromosome segregation [GO:0051983]
107	regulation of cohesin loading [GO:0071922]
108	response to toxic substance [GO:0009636]
109	histone H3-K4 methylation [GO:0051568]
110	histone H3-K4 trimethylation [GO:0080182]
111	blastocyst formation [GO:0001825]
112	ribosomal large subunit biogenesis [GO:0042273]
113	RNA metabolic process [GO:0016070]
114	rRNA processing [GO:0006364]
115	mRNA transport [GO:0051028]
116	nucleocytoplasmic transport [GO:0006913]
117	protein export from nucleus [GO:0006611]
118	protein localization to nucleus [GO:0034504]
119	regulation of centrosome duplication [GO:0010824]
120	regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032434]
121	regulation of protein export from nucleus [GO:0046825]
122	response to drug [GO:0042493]
123	ribosomal large subunit export from nucleus [GO:0000055]
124	ribosomal small subunit export from nucleus [GO:0000056]
125	ribosomal subunit export from nucleus [GO:0000054]
126	ribosome biogenesis [GO:0042254]
127	intestinal epithelial cell development [GO:0060576]
128	negative regulation of DNA binding [GO:0043392]
129	positive regulation of transcription, DNA-templated [GO:0045893]
130	3'-UTR-mediated mRNA destabilization [GO:0061158]
131	angiogenesis [GO:0001525]
132	apoptotic process [GO:0006915]
133	cell differentiation [GO:0030154]
134	cellular response to chemokine [GO:1990869]
135	cellular response to DNA damage stimulus [GO:0006974]
136	cellular response to glucose starvation [GO:0042149]
137	cellular response to interleukin-1 [GO:0071347]
138	cellular response to ionomycin [GO:1904637]
139	cellular response to lipopolysaccharide [GO:0071222]
140	cellular response to oxidative stress [GO:0034599]
141	cellular response to sodium arsenite [GO:1903936]
142	cellular response to tumor necrosis factor [GO:0071356]
143	cellular response to virus [GO:0098586]
144	defense response to virus [GO:0051607]
145	immune response-activating signal transduction [GO:0002757]
146	inflammatory response [GO:0006954]
147	negative regulation by host of viral genome replication [GO:0044828]
148	negative regulation of cardiac muscle contraction [GO:0055118]
149	negative regulation of cytokine production involved in inflammatory response [GO:1900016]
150	negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]
151	negative regulation of interleukin-1 beta production [GO:0032691]
152	negative regulation of interleukin-6 production [GO:0032715]
153	negative regulation of macrophage activation [GO:0043031]
154	negative regulation of muscle cell apoptotic process [GO:0010656]
155	negative regulation of NF-kappaB transcription factor activity [GO:0032088]
156	negative regulation of NIK/NF-kappaB signaling [GO:1901223]
157	negative regulation of nitric oxide biosynthetic process [GO:0045019]
158	negative regulation of production of miRNAs involved in gene silencing by miRNA [GO:1903799]
159	negative regulation of protein phosphorylation [GO:0001933]
160	nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay [GO:0000294]
161	positive regulation of angiogenesis [GO:0045766]
162	positive regulation of autophagy [GO:0010508]
163	positive regulation of cell death [GO:0010942]
164	positive regulation of endothelial cell migration [GO:0010595]
165	positive regulation of execution phase of apoptosis [GO:1900119]
166	positive regulation of fat cell differentiation [GO:0045600]
167	positive regulation of lipid storage [GO:0010884]
168	positive regulation of miRNA catabolic process [GO:2000627]
169	positive regulation of mRNA catabolic process [GO:0061014]
170	positive regulation of p38MAPK cascade [GO:1900745]
171	positive regulation of protein deubiquitination [GO:1903003]
172	positive regulation of protein import into nucleus [GO:0042307]
173	positive regulation of reactive oxygen species metabolic process [GO:2000379]
174	protein complex oligomerization [GO:0051259]
175	protein deubiquitination [GO:0016579]
176	RNA phosphodiester bond hydrolysis [GO:0090501]
177	RNA phosphodiester bond hydrolysis, endonucleolytic [GO:0090502]
178	T cell receptor signaling pathway [GO:0050852]
179	response to stimulus [GO:0050896]
180	retina development in camera-type eye [GO:0060041]
181	visual perception [GO:0007601]
182	muscle organ development [GO:0007517]
183	positive regulation of neuron migration [GO:2001224]
184	regulation of myoblast proliferation [GO:2000291]
185	basic amino acid transmembrane transport [GO:1990822]
186	regulation of arginine metabolic process [GO:0000821]
187	actomyosin structure organization [GO:0031032]
188	adherens junction maintenance [GO:0034334]
189	cell-cell adhesion [GO:0098609]
190	cell-cell junction assembly [GO:0007043]
191	cell-cell junction organization [GO:0045216]
192	establishment of endothelial intestinal barrier [GO:0090557]
193	maintenance of blood-brain barrier [GO:0035633]
194	negative regulation of actin cytoskeleton reorganization [GO:2000250]
195	negative regulation of apoptotic process [GO:0043066]
196	negative regulation of stress fiber assembly [GO:0051497]
197	positive regulation of blood-brain barrier permeability [GO:1905605]
198	positive regulation of cell-cell adhesion mediated by cadherin [GO:2000049]
199	positive regulation of cell population proliferation [GO:0008284]
200	positive regulation of sprouting angiogenesis [GO:1903672]
201	protein localization to adherens junction [GO:0071896]
202	protein localization to bicellular tight junction [GO:1902396]
203	protein localization to cell-cell junction [GO:0150105]
204	regulation of bicellular tight junction assembly [GO:2000810]
205	regulation of cell junction assembly [GO:1901888]
206	regulation of cytoskeleton organization [GO:0051493]
207	male meiosis I [GO:0007141]
208	spermatogenesis [GO:0007283]
209	heterochromatin assembly by small RNA [GO:0031048]
210	regulation of sequestering of zinc ion [GO:0061088]
211	response to zinc ion [GO:0010043]
212	zinc ion homeostasis [GO:0055069]
213	zinc ion transmembrane transport [GO:0071577]
214	cellular zinc ion homeostasis [GO:0006882]
215	nucleotide-excision repair [GO:0006289]
216	zinc ion transport [GO:0006829]
217	cerebellar granule cell precursor proliferation [GO:0021930]
218	negative regulation of cold-induced thermogenesis [GO:0120163]
219	Notch signaling pathway [GO:0007219]
220	positive regulation of BMP signaling pathway [GO:0030513]
221	protein localization to cilium [GO:0061512]
222	smoothened signaling pathway involved in regulation of cerebellar granule cell precursor cell proliferation [GO:0021938]
223	innate immune response [GO:0045087]
224	negative regulation of neurogenesis [GO:0050768]
225	negative regulation of viral entry into host cell [GO:0046597]
226	negative regulation of viral release from host cell [GO:1902187]
227	negative regulation of viral transcription [GO:0032897]
228	positive regulation of viral entry into host cell [GO:0046598]
229	protein ubiquitination [GO:0016567]
230	mitochondrial tRNA processing [GO:0090646]
231	tRNA methylation [GO:0030488]
232	tRNA N1-guanine methylation [GO:0002939]
233	endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]
234	cognition [GO:0050890]
235	proteolysis [GO:0006508]
236	cell-cell signaling [GO:0007267]
237	defense response to Gram-positive bacterium [GO:0050830]
238	humoral immune response [GO:0006959]
239	lymph node development [GO:0048535]
240	negative regulation of fibroblast proliferation [GO:0048147]
241	positive regulation of apoptotic process [GO:0043065]
242	positive regulation of chronic inflammatory response to antigenic stimulus [GO:0002876]
243	positive regulation of glial cell proliferation [GO:0060252]
244	positive regulation of humoral immune response mediated by circulating immunoglobulin [GO:0002925]
245	positive regulation of interferon-gamma production [GO:0032729]
246	response to hypoxia [GO:0001666]
247	response to lipopolysaccharide [GO:0032496]
248	response to nutrient [GO:0007584]
249	telomere maintenance via recombination [GO:0000722]
250	craniofacial suture morphogenesis [GO:0097094]
251	detection of nodal flow [GO:0003127]
252	embryonic digit morphogenesis [GO:0042733]
253	neural tube patterning [GO:0021532]
254	non-motile cilium assembly [GO:1905515]
255	protein localization to ciliary transition zone [GO:1904491]
256	roof of mouth development [GO:0060021]
257	actin filament organization [GO:0007015]
258	muscle contraction [GO:0006936]
259	osteoblast differentiation [GO:0001649]
260	lymph vessel development [GO:0001945]
261	regulation of vascular endothelial growth factor receptor signaling pathway [GO:0030947]
262	smooth muscle cell differentiation [GO:0051145]
263	mitochondrial RNA 5'-end processing [GO:0000964]
264	mitochondrial tRNA 3'-end processing [GO:1990180]
265	mitochondrial tRNA 5'-end processing [GO:0097745]
266	mRNA methylation [GO:0080009]
267	positive regulation of mitochondrial translation [GO:0070131]
268	dephosphorylation [GO:0016311]
269	negative regulation of double-strand break repair via nonhomologous end joining [GO:2001033]
270	aging [GO:0007568]
271	central nervous system development [GO:0007417]
272	negative regulation of cell population proliferation [GO:0008285]
273	negative regulation of endopeptidase activity [GO:0010951]
274	negative regulation of membrane protein ectodomain proteolysis [GO:0051045]
275	negative regulation of metallopeptidase activity [GO:1905049]
276	negative regulation of mitotic cell cycle [GO:0045930]
277	negative regulation of Ras protein signal transduction [GO:0046580]
278	positive regulation of adenylate cyclase activity [GO:0045762]
279	positive regulation of MAPK cascade [GO:0043410]
280	positive regulation of neuron differentiation [GO:0045666]
281	regulation of Rap protein signal transduction [GO:0032487]
282	response to cytokine [GO:0034097]
283	response to hormone [GO:0009725]
284	response to organic substance [GO:0010033]
285	calcium ion import across plasma membrane [GO:0098703]
286	calcium ion transmembrane transport [GO:0070588]
287	positive regulation of axon extension [GO:0045773]
288	positive regulation of calcium ion import [GO:0090280]
289	response to heat [GO:0009408]
290	response to temperature stimulus [GO:0009266]
291	sensory perception [GO:0007600]
292	adaptive immune response [GO:0002250]
293	calcium ion transport into cytosol [GO:0060402]
294	cation transmembrane transport [GO:0098655]
295	cellular response to light stimulus [GO:0071482]
296	G protein-coupled glutamate receptor signaling pathway [GO:0007216]
297	protein tetramerization [GO:0051262]
298	calcium-mediated signaling [GO:0019722]
299	cellular response to ATP [GO:0071318]
300	dendritic cell chemotaxis [GO:0002407]
301	inorganic cation transmembrane transport [GO:0098662]
302	membrane depolarization during AV node cell action potential [GO:0086045]
303	membrane depolarization during bundle of His cell action potential [GO:0086048]
304	membrane depolarization during Purkinje myocyte cell action potential [GO:0086047]
305	negative regulation of bone mineralization [GO:0030502]
306	negative regulation of osteoblast differentiation [GO:0045668]
307	positive regulation of adipose tissue development [GO:1904179]
308	positive regulation of atrial cardiac muscle cell action potential [GO:1903949]
309	positive regulation of cytosolic calcium ion concentration [GO:0007204]
310	positive regulation of heart rate [GO:0010460]
311	positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]
312	positive regulation of regulation of vascular associated smooth muscle cell membrane depolarization [GO:1904199]
313	positive regulation of vasoconstriction [GO:0045907]
314	protein homotetramerization [GO:0051289]
315	protein sumoylation [GO:0016925]
316	regulation of heart rate by cardiac conduction [GO:0086091]
317	regulation of T cell cytokine production [GO:0002724]
318	regulation of ventricular cardiac muscle cell action potential [GO:0098911]
319	sodium ion import across plasma membrane [GO:0098719]
320	vasoconstriction [GO:0042310]
321	calcium ion import [GO:0070509]
322	calcium ion transport [GO:0006816]
323	gamma-aminobutyric acid secretion [GO:0014051]
324	manganese ion transport [GO:0006828]
325	oligodendrocyte differentiation [GO:0048709]
326	regulation of cytosolic calcium ion concentration [GO:0051480]
327	single fertilization [GO:0007338]
328	CMP catabolic process [GO:0006248]
329	dCMP catabolic process [GO:0006249]
330	dTMP catabolic process [GO:0046074]
331	dUMP catabolic process [GO:0046079]
332	nucleobase-containing compound metabolic process [GO:0006139]
333	UMP catabolic process [GO:0046050]
334	UMP salvage [GO:0044206]
335	uridine catabolic process [GO:0006218]
336	mitochondrial respiratory chain complex III assembly [GO:0034551]
337	vesicle docking [GO:0048278]
338	vesicle fusion [GO:0006906]
339	neuron projection development [GO:0031175]
340	peptidyl-serine phosphorylation [GO:0018105]
341	positive regulation of translational initiation [GO:0045948]
342	protein autophosphorylation [GO:0046777]
343	regulation of cell cycle [GO:0051726]
344	enzyme-directed rRNA pseudouridine synthesis [GO:0000455]
345	maturation of SSU-rRNA [GO:0030490]
346	rRNA modification [GO:0000154]
347	CTP salvage [GO:0044211]
348	epithelial cell differentiation [GO:0030855]
349	response to bacterium [GO:0009617]
350	embryo implantation [GO:0007566]
351	fertilization [GO:0009566]
352	mating behavior [GO:0007617]
353	prolactin secretion [GO:0070459]
354	protein polyubiquitination [GO:0000209]
355	reproductive system development [GO:0061458]
356	suckling behavior [GO:0001967]
357	ubiquitin-dependent protein catabolic process [GO:0006511]
358	cellular triglyceride homeostasis [GO:0035356]
359	inner ear development [GO:0048839]
360	negative regulation of mitochondrial calcium ion concentration [GO:0051562]
361	negative regulation of mitochondrial membrane potential [GO:0010917]
362	neuron death [GO:0070997]
363	regulation of glucose import [GO:0046324]
364	response to cold [GO:0009409]
365	negative regulation of protein ubiquitination [GO:0031397]
366	protein localization to cell surface [GO:0034394]
367	regulation of protein stability [GO:0031647]
368	spliceosomal tri-snRNP complex assembly [GO:0000244]
369	cell migration [GO:0016477]
370	DNA repair [GO:0006281]
371	global genome nucleotide-excision repair [GO:0070911]
372	neural retina development [GO:0003407]
373	photoreceptor cell maintenance [GO:0045494]
374	activation of phospholipase C activity [GO:0007202]
375	blood circulation [GO:0008015]
376	cellular response to water deprivation [GO:0042631]
377	generation of precursor metabolites and energy [GO:0006091]
378	G protein-coupled receptor signaling pathway [GO:0007186]
379	grooming behavior [GO:0007625]
380	maternal aggressive behavior [GO:0002125]
381	maternal behavior [GO:0042711]
382	myotube differentiation [GO:0014902]
383	negative regulation of female receptivity [GO:0007621]
384	negative regulation of transmission of nerve impulse [GO:0051970]
385	penile erection [GO:0043084]
386	positive regulation of cell growth [GO:0030307]
387	positive regulation of cellular pH reduction [GO:0032849]
388	positive regulation of glutamate secretion [GO:0014049]
389	positive regulation of prostaglandin biosynthetic process [GO:0031394]
390	positive regulation of renal sodium excretion [GO:0035815]
391	positive regulation of systemic arterial blood pressure [GO:0003084]
392	regulation of systemic arterial blood pressure by vasopressin [GO:0001992]
393	response to corticosterone [GO:0051412]
394	social behavior [GO:0035176]
395	sperm ejaculation [GO:0042713]
396	telencephalon development [GO:0021537]
397	transport across blood-brain barrier [GO:0150104]
398	peptidyl-glutamic acid carboxylation [GO:0017187]
399	vitamin K metabolic process [GO:0042373]
400	protein import into nucleus [GO:0006606]
401	actin filament-based movement [GO:0030048]
402	actin filament polymerization [GO:0030041]
403	actin polymerization or depolymerization [GO:0008154]
404	cellular protein-containing complex localization [GO:0034629]
405	dendritic spine morphogenesis [GO:0060997]
406	negative regulation of lymphocyte migration [GO:2000402]
407	negative regulation of membrane tubulation [GO:1903526]
408	positive regulation of Arp2/3 complex-mediated actin nucleation [GO:2000601]
409	positive regulation of clathrin-dependent endocytosis [GO:2000370]
410	positive regulation of filopodium assembly [GO:0051491]
411	protein-containing complex assembly [GO:0065003]
412	regulation of protein localization [GO:0032880]
413	spindle localization [GO:0051653]
414	vesicle budding from membrane [GO:0006900]
415	vesicle transport along actin filament [GO:0030050]
416	cell cycle [GO:0007049]
417	embryonic morphogenesis [GO:0048598]
418	endothelial to hematopoietic transition [GO:0098508]
419	gamete generation [GO:0007276]
420	hematopoietic stem cell proliferation [GO:0071425]
421	mRNA catabolic process [GO:0006402]
422	mRNA destabilization [GO:0061157]
423	negative regulation of Notch signaling pathway [GO:0045746]
424	negative regulation of stem cell differentiation [GO:2000737]
425	negative regulation of type I interferon-mediated signaling pathway [GO:0060339]
426	oocyte maturation [GO:0001556]
427	organelle assembly [GO:0070925]
428	positive regulation of cap-independent translational initiation [GO:1903679]
429	regulation of cell adhesion [GO:0030155]
430	regulation of hematopoietic stem cell differentiation [GO:1902036]
431	regulation of meiotic cell cycle process involved in oocyte maturation [GO:1903538]
432	regulation of mRNA stability [GO:0043488]
433	regulation of neurogenesis [GO:0050767]
434	regulation of rRNA processing [GO:2000232]
435	spermatogonial cell division [GO:0007284]
436	stress granule assembly [GO:0034063]
437	chromatin organization [GO:0006325]
438	cell population proliferation [GO:0008283]
439	blood vessel morphogenesis [GO:0048514]
440	cellular response to vascular endothelial growth factor stimulus [GO:0035924]
441	hematopoietic progenitor cell differentiation [GO:0002244]
442	lung alveolus development [GO:0048286]
443	lymphangiogenesis [GO:0001946]
444	peptidyl-tyrosine phosphorylation [GO:0018108]
445	positive regulation of endothelial cell proliferation [GO:0001938]
446	positive regulation of ERK1 and ERK2 cascade [GO:0070374]
447	positive regulation of JNK cascade [GO:0046330]
448	positive regulation of kinase activity [GO:0033674]
449	positive regulation of protein kinase C signaling [GO:0090037]
450	positive regulation of protein phosphorylation [GO:0001934]
451	positive regulation of vascular endothelial growth factor production [GO:0010575]
452	regulation of blood vessel remodeling [GO:0060312]
453	respiratory system process [GO:0003016]
454	sprouting angiogenesis [GO:0002040]
455	transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]
456	vascular endothelial growth factor receptor signaling pathway [GO:0048010]
457	vascular endothelial growth factor signaling pathway [GO:0038084]
458	vasculature development [GO:0001944]
459	transmembrane transport [GO:0055085]
460	vacuolar acidification [GO:0007035]
461	poly(A)+ mRNA export from nucleus [GO:0016973]
462	acute-phase response [GO:0006953]
463	animal organ regeneration [GO:0031100]
464	bilirubin conjugation [GO:0006789]
465	biphenyl catabolic process [GO:0070980]
466	cellular glucuronidation [GO:0052695]
467	cellular response to estradiol stimulus [GO:0071392]
468	cellular response to ethanol [GO:0071361]
469	cellular response to glucocorticoid stimulus [GO:0071385]
470	drug metabolic process [GO:0017144]
471	estrogen metabolic process [GO:0008210]
472	flavone metabolic process [GO:0051552]
473	flavonoid glucuronidation [GO:0052696]
474	heterocycle metabolic process [GO:0046483]
475	liver development [GO:0001889]
476	negative regulation of cellular glucuronidation [GO:2001030]
477	negative regulation of fatty acid metabolic process [GO:0045922]
478	negative regulation of glucuronosyltransferase activity [GO:1904224]
479	negative regulation of steroid metabolic process [GO:0045939]
480	response to starvation [GO:0042594]
481	retinoic acid metabolic process [GO:0042573]
482	steroid metabolic process [GO:0008202]
483	xenobiotic glucuronidation [GO:0052697]
484	autophagosome assembly [GO:0000045]
485	autophagy [GO:0006914]
486	autophagy of mitochondrion [GO:0000422]
487	autophagy of nucleus [GO:0044804]
488	cellular response to starvation [GO:0009267]
489	protein lipidation [GO:0006497]
490	protein localization to phagophore assembly site [GO:0034497]
491	DNA-dependent DNA replication [GO:0006261]
492	DNA synthesis involved in DNA repair [GO:0000731]
493	regulation of DNA-dependent DNA replication initiation [GO:0030174]
494	regulation of DNA repair [GO:0006282]
495	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]
496	cellular response to BMP stimulus [GO:0071773]
497	positive regulation of white fat cell proliferation [GO:0070352]
498	adrenal gland development [GO:0030325]
499	branching involved in ureteric bud morphogenesis [GO:0001658]
500	canonical Wnt signaling pathway [GO:0060070]
501	cell fate commitment [GO:0045165]
502	cellular response to transforming growth factor beta stimulus [GO:0071560]
503	embryonic epithelial tube formation [GO:0001838]
504	epithelial to mesenchymal transition [GO:0001837]
505	female gonad development [GO:0008585]
506	female sex determination [GO:0030237]
507	hormone metabolic process [GO:0042445]
508	immature T cell proliferation in thymus [GO:0033080]
509	kidney development [GO:0001822]
510	male gonad development [GO:0008584]
511	mammary gland epithelium development [GO:0061180]
512	mesenchymal to epithelial transition [GO:0060231]
513	metanephric mesenchymal cell differentiation [GO:0072162]
514	metanephric nephron morphogenesis [GO:0072273]
515	metanephric tubule formation [GO:0072174]
516	negative regulation of androgen biosynthetic process [GO:2000180]
517	negative regulation of apoptotic signaling pathway [GO:2001234]
518	negative regulation of cell differentiation [GO:0045596]
519	negative regulation of cell migration [GO:0030336]
520	negative regulation of fibroblast growth factor receptor signaling pathway [GO:0040037]
521	negative regulation of male gonad development [GO:2000019]
522	negative regulation of steroid biosynthetic process [GO:0010894]
523	negative regulation of testicular blood vessel morphogenesis [GO:0061369]
524	negative regulation of testosterone biosynthetic process [GO:2000225]
525	negative regulation of wound healing [GO:0061045]
526	neuron differentiation [GO:0030182]
527	non-canonical Wnt signaling pathway via MAPK cascade [GO:0038030]
528	oocyte development [GO:0048599]
529	paramesonephric duct development [GO:0061205]
530	positive regulation of aldosterone biosynthetic process [GO:0032349]
531	positive regulation of bone mineralization [GO:0030501]
532	positive regulation of collagen biosynthetic process [GO:0032967]
533	positive regulation of cortisol biosynthetic process [GO:2000066]
534	positive regulation of dermatome development [GO:0061184]
535	positive regulation of focal adhesion assembly [GO:0051894]
536	positive regulation of GTPase activity [GO:0043547]
537	positive regulation of meiotic nuclear division [GO:0045836]
538	positive regulation of osteoblast differentiation [GO:0045669]
539	positive regulation of stress fiber assembly [GO:0051496]
540	regulation of cell-cell adhesion [GO:0022407]
541	renal vesicle formation [GO:0072033]
542	renal vesicle induction [GO:0072034]
543	somatotropin secreting cell differentiation [GO:0060126]
544	tertiary branching involved in mammary gland duct morphogenesis [GO:0060748]
545	thyroid-stimulating hormone-secreting cell differentiation [GO:0060129]
546	actin filament depolymerization [GO:0030042]
547	actin filament fragmentation [GO:0030043]
548	apical junction assembly [GO:0043297]
549	cortical cytoskeleton organization [GO:0030865]
550	establishment of planar polarity of follicular epithelium [GO:0042247]
551	locomotion [GO:0040011]
552	maintenance of epithelial cell apical/basal polarity [GO:0045199]
553	neutrophil mediated immunity [GO:0002446]
554	neutrophil migration [GO:1990266]
555	platelet formation [GO:0030220]
556	positive regulation of actin filament depolymerization [GO:0030836]
557	regulation of actin filament depolymerization [GO:0030834]
558	regulation of cell shape [GO:0008360]
559	regulation of oligodendrocyte differentiation [GO:0048713]
560	regulation of ventricular cardiac muscle cell membrane repolarization [GO:0060307]
561	sarcomere organization [GO:0045214]
562	sensory perception of sound [GO:0007605]
563	response to X-ray [GO:0010165]
564	ion transmembrane transport [GO:0034220]
565	positive regulation of protein catabolic process [GO:0045732]
566	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]
567	viral entry into host cell [GO:0046718]
568	macroautophagy [GO:0016236]
569	multivesicular body assembly [GO:0036258]
570	protein targeting to vacuole [GO:0006623]
571	ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043162]
572	viral budding via host ESCRT complex [GO:0039702]
573	cellular response to interferon-gamma [GO:0071346]
574	retrograde transport, endosome to Golgi [GO:0042147]
575	endosomal vesicle fusion [GO:0034058]
576	endosome to lysosome transport [GO:0008333]
577	Golgi vesicle transport [GO:0048193]
578	late endosome to lysosome transport [GO:1902774]
579	regulated exocytosis [GO:0045055]
580	meiotic cell cycle [GO:0051321]
581	cell morphogenesis [GO:0000902]
582	ciliary receptor clustering involved in smoothened signaling pathway [GO:0060830]
583	digestive system development [GO:0055123]
584	ear morphogenesis [GO:0042471]
585	embryonic camera-type eye development [GO:0031076]
586	embryonic cranial skeleton morphogenesis [GO:0048701]
587	embryonic limb morphogenesis [GO:0030326]
588	gonad development [GO:0008406]
589	intraciliary retrograde transport [GO:0035721]
590	myotome development [GO:0061055]
591	nervous system process [GO:0050877]
592	protein localization to ciliary membrane [GO:1903441]
593	smoothened signaling pathway involved in dorsal/ventral neural tube patterning [GO:0060831]
594	glomerular filtration [GO:0003094]
595	protein processing [GO:0016485]
596	copper ion homeostasis [GO:0055070]
597	inhibition of cysteine-type endopeptidase activity involved in apoptotic process [GO:1990001]
598	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]
599	neuron apoptotic process [GO:0051402]
600	positive regulation of protein linear polyubiquitination [GO:1902530]
601	positive regulation of protein ubiquitination [GO:0031398]
602	regulation of BMP signaling pathway [GO:0030510]
603	regulation of cell population proliferation [GO:0042127]
604	regulation of inflammatory response [GO:0050727]
605	regulation of innate immune response [GO:0045088]
