	ID_Geneontology_cellularcomponent__	Gene ontology (cellular component)
96	cytoplasm [GO:0005737]; PcG protein complex [GO:0031519]; transcription regulator complex [GO:0005667]	96
97	ciliary tip [GO:0097542]; cilium [GO:0005929]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; intraciliary transport particle A [GO:0030991]; motile cilium [GO:0031514]; non-motile cilium [GO:0097730]; photoreceptor connecting cilium [GO:0032391]; photoreceptor outer segment [GO:0001750]	97
98	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]	98
99	anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]	99
100	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle microtubule [GO:0005876]	100
101	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	101
102	cytoplasm [GO:0005737]	102
103	CMG complex [GO:0071162]; GINS complex [GO:0000811]; nucleoplasm [GO:0005654]	103
104	integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]; tertiary granule membrane [GO:0070821]	104
105	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; membrane [GO:0016020]	105
106	extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	106
107	caveola [GO:0005901]; cytoplasmic vesicle lumen [GO:0060205]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; integral component of plasma membrane [GO:0005887]; lysosomal lumen [GO:0043202]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]	107
108	cell projection [GO:0042995]; cytosol [GO:0005829]; integral component of membrane [GO:0016021]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	108
109	actin cytoskeleton [GO:0015629]; actin filament [GO:0005884]; bleb [GO:0032059]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; muscle thin filament tropomyosin [GO:0005862]; ruffle membrane [GO:0032587]; sarcomere [GO:0030017]; stress fiber [GO:0001725]	109
110	alpha-beta T cell receptor complex [GO:0042105]; integral component of membrane [GO:0016021]	110
111	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]	111
112	extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]	112
113	cytoplasm [GO:0005737]; nucleus [GO:0005634]	113
114	calyx of Held [GO:0044305]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; presynaptic active zone [GO:0048786]; synaptic vesicle [GO:0008021]; synaptic vesicle membrane [GO:0030672]	114
115	external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]; integral component of membrane [GO:0016021]; T cell receptor complex [GO:0042101]	115
116	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; membrane raft [GO:0045121]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; specific granule membrane [GO:0035579]; tumor necrosis factor receptor superfamily complex [GO:0002947]; varicosity [GO:0043196]	116
117	endomembrane system [GO:0012505]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	117
118	actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; focal adhesion [GO:0005925]; plasma membrane [GO:0005886]; ruffle [GO:0001726]; synapse [GO:0045202]	118
119	extracellular space [GO:0005615]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	119
120	mitochondrion [GO:0005739]	120
121	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; organelle membrane [GO:0031090]; plasma membrane [GO:0005886]	121
122	centrosome [GO:0005813]; cytoplasm [GO:0005737]	122
123	centrosome [GO:0005813]	123
124	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular region [GO:0005576]; nucleus [GO:0005634]; platelet alpha granule lumen [GO:0031093]	124
125	cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	125
126	ciliary membrane [GO:0060170]; cilium [GO:0005929]; integral component of membrane [GO:0016021]	126
127	actin filament [GO:0005884]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; filopodium [GO:0030175]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; myofibril [GO:0030016]; perinuclear region of cytoplasm [GO:0048471]; stereocilium [GO:0032420]	127
128	aggresome [GO:0016235]; autophagosome [GO:0005776]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; nucleoplasm [GO:0005654]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; proteasome complex [GO:0000502]; protein-containing complex [GO:0032991]	128
129	cytosol [GO:0005829]; integral component of plasma membrane [GO:0005887]; integral component of synaptic vesicle membrane [GO:0030285]; mitochondrial outer membrane [GO:0005741]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; SNARE complex [GO:0031201]; specific granule membrane [GO:0035579]; synaptic vesicle membrane [GO:0030672]; tertiary granule membrane [GO:0070821]	129
130	apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]	130
131	cytoskeleton [GO:0005856]; extracellular exosome [GO:0070062]; glutamatergic synapse [GO:0098978]; lamellipodium [GO:0030027]; postsynapse [GO:0098794]; SCAR complex [GO:0031209]	131
132	catalytic step 2 spliceosome [GO:0071013]; endosome membrane [GO:0010008]; spliceosomal complex [GO:0005681]	132
133	extracellular region [GO:0005576]	133
134	COPII-coated ER to Golgi transport vesicle [GO:0030134]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; integral component of Golgi membrane [GO:0030173]	134
135	chromosome [GO:0005694]; nucleus [GO:0005634]	135
136	collagen-containing extracellular matrix [GO:0062023]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; nucleus [GO:0005634]	136
137	integral component of membrane [GO:0016021]; membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; nuclear body [GO:0016604]	137
138	endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; integral component of Golgi membrane [GO:0030173]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]	138
139	nucleus [GO:0005634]; protein-containing complex [GO:0032991]	139
140	cytosol [GO:0005829]; endosome [GO:0005768]; lysosome [GO:0005764]; membrane [GO:0016020]; synaptic vesicle membrane [GO:0030672]	140
141	cytoplasm [GO:0005737]; cytosol [GO:0005829]; intermediate filament cytoskeleton [GO:0045111]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome complex [GO:0000502]	141
142	integral component of membrane [GO:0016021]; lysosome [GO:0005764]; postsynaptic membrane [GO:0045211]	142
143	cleavage furrow [GO:0032154]; dendritic spine [GO:0043197]; extrinsic component of postsynaptic endosome membrane [GO:0098999]; postsynaptic density, intracellular component [GO:0099092]; ruffle membrane [GO:0032587]	143
144	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; plasma membrane [GO:0005886]	144
145	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; myelin sheath [GO:0043209]	145
146	cytosol [GO:0005829]; IkappaB kinase complex [GO:0008385]; nucleus [GO:0005634]	146
147	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]	147
148	anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]; membrane [GO:0016020]; plasma membrane [GO:0005886]; Wnt signalosome [GO:1990909]	148
149	centrosome [GO:0005813]; cytoplasm [GO:0005737]; nuclear body [GO:0016604]; nuclear inclusion body [GO:0042405]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Rad6-Rad18 complex [GO:0097505]; replication fork [GO:0005657]; site of double-strand break [GO:0035861]	149
150	apical plasma membrane [GO:0016324]; cytosol [GO:0005829]; dendrite [GO:0030425]; exocytic vesicle [GO:0070382]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]; late endosome [GO:0005770]; lysosome [GO:0005764]; melanosome [GO:0042470]; melanosome membrane [GO:0033162]; multivesicular body membrane [GO:0032585]; photoreceptor outer segment [GO:0001750]; secretory granule [GO:0030141]; secretory granule membrane [GO:0030667]; specific granule lumen [GO:0035580]; Weibel-Palade body [GO:0033093]	150
151	anchored component of postsynaptic density membrane [GO:0099031]; anchored component of presynaptic membrane [GO:0099026]; cytoplasm [GO:0005737]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]	151
152	plasma membrane [GO:0005886]	152
153	endosome [GO:0005768]; Golgi apparatus [GO:0005794]; Golgi lumen [GO:0005796]; Golgi membrane [GO:0000139]; presynapse [GO:0098793]	153
154	centrosome [GO:0005813]; cytosol [GO:0005829]; microtubule associated complex [GO:0005875]	154
155	cytoplasm [GO:0005737]; spliceosomal complex [GO:0005681]	155
156	endosome [GO:0005768]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; synaptic vesicle [GO:0008021]	156
157	endoplasmic reticulum membrane [GO:0005789]; photoreceptor inner segment [GO:0001917]; photoreceptor inner segment membrane [GO:0060342]	157
158	chromosome [GO:0005694]; cytosol [GO:0005829]; plasma membrane [GO:0005886]	158
159	autophagosome [GO:0005776]; cytosol [GO:0005829]; endocytic vesicle [GO:0030139]; endomembrane system [GO:0012505]; endosome [GO:0005768]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]	159
160	acrosomal vesicle [GO:0001669]; anchored component of synaptic vesicle membrane [GO:0098993]; axon [GO:0030424]; clathrin-sculpted acetylcholine transport vesicle membrane [GO:0060201]; clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane [GO:0061202]; clathrin-sculpted glutamate transport vesicle membrane [GO:0060203]; clathrin-sculpted monoamine transport vesicle membrane [GO:0070083]; cytosol [GO:0005829]; endosome [GO:0005768]; extracellular vesicle [GO:1903561]; lysosome [GO:0005764]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; presynaptic active zone [GO:0048786]; protein-containing complex [GO:0032991]; secretory granule membrane [GO:0030667]; synaptic vesicle [GO:0008021]; terminal bouton [GO:0043195]	160
161	cytoplasmic microtubule [GO:0005881]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum tubular network [GO:0071782]; integral component of membrane [GO:0016021]; membrane [GO:0016020]	161
162	cytoplasm [GO:0005737]; cytoplasmic microtubule [GO:0005881]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum tubular network [GO:0071782]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; mitochondrial membrane [GO:0031966]	162
