	ID_Geneontology_molecularfunction__	Gene ontology (molecular function)
88	phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; phosphatidylinositol-3-phosphate binding [GO:0032266]; phosphatidylinositol phosphate binding [GO:1901981]; protein kinase binding [GO:0019901]	88
89	ATPase [GO:0016887]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0140603]; DNA binding [GO:0003677]; enzyme activator activity [GO:0008047]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; single-stranded DNA helicase activity [GO:0017116]	89
90	snoRNA binding [GO:0030515]	90
91	aspartic-type endopeptidase activity [GO:0004190]; nucleic acid binding [GO:0003676]	91
92	cytokine activity [GO:0005125]; frizzled binding [GO:0005109]; receptor ligand activity [GO:0048018]; transcription corepressor activity [GO:0003714]	92
93	actin filament binding [GO:0051015]	93
94	ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]	94
95	DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]	95
96	cell adhesion molecule binding [GO:0050839]	96
97	RNA binding [GO:0003723]	97
98	identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; microtubule binding [GO:0008017]; protein self-association [GO:0043621]	98
99	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]	99
100	aminopeptidase activity [GO:0004177]; manganese ion binding [GO:0030145]; metalloaminopeptidase activity [GO:0070006]; peptidase activity [GO:0008233]; protein homodimerization activity [GO:0042803]	100
101	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]	101
102	cysteine-type endopeptidase inhibitor activity involved in apoptotic process [GO:0043027]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]	102
103	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]	103
104	mRNA binding involved in posttranscriptional gene silencing [GO:1903231]	104
105	zinc ion binding [GO:0008270]	105
106	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]	106
107	G protein-coupled purinergic nucleotide receptor activity [GO:0045028]; G protein-coupled receptor activity [GO:0004930]; lipopolysaccharide binding [GO:0001530]; lipopolysaccharide immune receptor activity [GO:0001875]; mitogen-activated protein kinase binding [GO:0051019]; phospholipid binding [GO:0005543]; platelet activating factor receptor activity [GO:0004992]	107
108	cadherin binding [GO:0045296]; heparin binding [GO:0008201]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	108
109	cytokine activity [GO:0005125]; death receptor binding [GO:0005123]; signaling receptor binding [GO:0005102]; tumor necrosis factor receptor binding [GO:0005164]	109
110	phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity [GO:0016314]; protein tyrosine phosphatase activity [GO:0004725]	110
111	actin binding [GO:0003779]; actin filament binding [GO:0051015]; cytoskeletal protein binding [GO:0008092]; identical protein binding [GO:0042802]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; structural constituent of cytoskeleton [GO:0005200]; structural constituent of muscle [GO:0008307]	111
112	signaling receptor activity [GO:0038023]	112
113	cytokine activity [GO:0005125]; signaling receptor activity [GO:0038023]	113
114	metal ion binding [GO:0046872]; RNA binding [GO:0003723]; tRNA (guanine-N2-)-methyltransferase activity [GO:0004809]; tRNA binding [GO:0000049]	114
115	ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]	115
116	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]	116
117	tumor necrosis factor-activated receptor activity [GO:0005031]; tumor necrosis factor binding [GO:0043120]; ubiquitin protein ligase binding [GO:0031625]	117
118	actin binding [GO:0003779]; actin filament binding [GO:0051015]; integrin binding [GO:0005178]; structural constituent of cytoskeleton [GO:0005200]; structural molecule activity [GO:0005198]	118
119	calcium ion binding [GO:0005509]	119
120	cholesterol binding [GO:0015485]	120
121	UDP-N-acetylglucosamine diphosphorylase activity [GO:0003977]	121
122	actin monomer binding [GO:0003785]; enzyme binding [GO:0019899]; RNA binding [GO:0003723]	122
123	3'-tyrosyl-DNA phosphodiesterase activity [GO:0017005]; double-stranded DNA binding [GO:0003690]; exonuclease activity [GO:0004527]; single-stranded DNA binding [GO:0003697]	123
124	BAT3 complex binding [GO:1904288]; chaperone binding [GO:0051087]; cysteine-type endopeptidase activity [GO:0004197]; Lys48-specific deubiquitinase activity [GO:1990380]; proteasome binding [GO:0070628]; thiol-dependent deubiquitinase [GO:0004843]; ubiquitin binding [GO:0043130]; ubiquitin-like protein ligase binding [GO:0044389]; ubiquitin protein ligase binding [GO:0031625]; zinc ion binding [GO:0008270]	124
125	actin filament binding [GO:0051015]; actin monomer binding [GO:0003785]; ATP binding [GO:0005524]; cadherin binding [GO:0045296]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; protein kinase C binding [GO:0005080]; RNA binding [GO:0003723]	125
126	glucuronosyltransferase activity [GO:0015020]	126
127	cysteine-type endopeptidase activity [GO:0004197]; protein kinase binding [GO:0019901]; thiol-dependent deubiquitinase [GO:0004843]	127
128	identical protein binding [GO:0042802]; kinase binding [GO:0019900]; polyubiquitin modification-dependent protein binding [GO:0031593]	128
129	SNAP receptor activity [GO:0005484]; syntaxin binding [GO:0019905]	129
130	calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201]; peptidase inhibitor activity [GO:0030414]	130
131	actin binding [GO:0003779]; Arp2/3 complex binding [GO:0071933]; protein kinase A regulatory subunit binding [GO:0034237]	131
132	methylated histone binding [GO:0035064]; methyl-CpG binding [GO:0008327]; zinc ion binding [GO:0008270]	132
133	protein transmembrane transporter activity [GO:0008320]; ribonuclease activity [GO:0004540]	133
134	metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]	134
135	ATP binding [GO:0005524]; ATP-dependent peptidase activity [GO:0004176]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]	135
136	WW domain binding [GO:0050699]	136
137	palmitoyltransferase activity [GO:0016409]; protein-cysteine S-myristoyltransferase activity [GO:0019705]; protein-cysteine S-palmitoyltransferase activity [GO:0019706]; protein-cysteine S-stearoyltransferase activity [GO:0140439]; zinc ion binding [GO:0008270]	137
138	metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]	138
139	G protein-coupled receptor activity [GO:0004930]; olfactory receptor activity [GO:0004984]	139
140	transcription factor binding [GO:0008134]	140
141	acid phosphatase activity [GO:0003993]; phosphatase activity [GO:0016791]; protein tyrosine phosphatase activity [GO:0004725]; receptor tyrosine kinase binding [GO:0030971]	141
142	guanyl-nucleotide exchange factor activity [GO:0005085]; phospholipid binding [GO:0005543]	142
143	cadherin binding [GO:0045296]; IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; protein homodimerization activity [GO:0042803]	143
144	mRNA binding [GO:0003729]; RNA binding [GO:0003723]	144
145	antioxidant activity [GO:0016209]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; prostaglandin-F synthase activity [GO:0047017]	145
146	cysteine-type endopeptidase activity [GO:0004197]	146
147	enzyme binding [GO:0019899]; pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]	147
148	pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; tRNA pseudouridine synthase activity [GO:0106029]	148
149	coreceptor activity involved in canonical Wnt signaling pathway [GO:1904928]; endopeptidase inhibitor activity [GO:0004866]; metalloendopeptidase inhibitor activity [GO:0008191]; serine-type endopeptidase inhibitor activity [GO:0004867]; Wnt-protein binding [GO:0017147]	149
150	damaged DNA binding [GO:0003684]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; polyubiquitin modification-dependent protein binding [GO:0031593]; protein-containing complex binding [GO:0044877]; single-stranded DNA binding [GO:0003697]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin protein ligase binding [GO:0031625]; Y-form DNA binding [GO:0000403]	150
151	GDP binding [GO:0019003]; G protein activity [GO:0003925]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; myosin V binding [GO:0031489]; protein domain specific binding [GO:0019904]	151
152	GDP binding [GO:0019003]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]	152
153	GTPase activity [GO:0003924]; GTP binding [GO:0005525]	153
154	GTPase activator activity [GO:0005096]; small GTPase binding [GO:0031267]; tubulin binding [GO:0015631]	154
155	11-cis-retinol dehydrogenase activity [GO:0102354]; NADP-retinol dehydrogenase activity [GO:0052650]; NAD-retinol dehydrogenase activity [GO:0004745]	155
156	ATPase activator activity [GO:0001671]; ATPase binding [GO:0051117]; GDP-dissociation inhibitor binding [GO:0051021]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; GTP-dependent protein binding [GO:0030742]; myosin V binding [GO:0031489]; protein C-terminus binding [GO:0008022]	156
157	microtubule binding [GO:0008017]	157
158	microtubule binding [GO:0008017]; olfactory receptor binding [GO:0031849]	158
159	serine-type endopeptidase activity [GO:0004252]	159
160	DNA binding [GO:0003677]; protein dimerization activity [GO:0046983]; RNA polymerase II activity [GO:0001055]	160
161	GTPase activator activity [GO:0005096]; SH3 domain binding [GO:0017124]	161
162	coreceptor activity [GO:0015026]; identical protein binding [GO:0042802]	162
163	serine-type carboxypeptidase activity [GO:0004185]	163
164	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	164
165	large ribosomal subunit rRNA binding [GO:0070180]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; transcription coactivator binding [GO:0001223]; ubiquitin ligase inhibitor activity [GO:1990948]; ubiquitin protein ligase binding [GO:0031625]	165
166	ribosomal large subunit binding [GO:0043023]	166
167	1-phosphatidylinositol-3-kinase regulator activity [GO:0046935]; phosphotyrosine residue binding [GO:0001784]; protein kinase inhibitor activity [GO:0004860]	167
168	identical protein binding [GO:0042802]; phosphatidylinositol binding [GO:0035091]	168
169	DNA binding [GO:0003677]; histone-lysine N-methyltransferase activity [GO:0018024]; metal ion binding [GO:0046872]; transcription corepressor activity [GO:0003714]	169
170	actin binding [GO:0003779]; structural constituent of muscle [GO:0008307]	170
171	ATPase, acting on DNA [GO:0008094]; ATP binding [GO:0005524]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; histone binding [GO:0042393]; hydrolase activity [GO:0016787]; nucleosome-dependent ATPase activity [GO:0070615]; transcription cis-regulatory region binding [GO:0000976]; transcription coactivator activity [GO:0003713]	171
172	identical protein binding [GO:0042802]; metal ion binding [GO:0046872]	172
173	cytoskeleton-nuclear membrane anchor activity [GO:0140444]; identical protein binding [GO:0042802]; lamin binding [GO:0005521]; microtubule binding [GO:0008017]; protein-membrane adaptor activity [GO:0043495]	173
174	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; succinate-CoA ligase (ADP-forming) activity [GO:0004775]; succinate-CoA ligase (GDP-forming) activity [GO:0004776]	174
175	retinal binding [GO:0016918]; retinol binding [GO:0019841]; retinol transmembrane transporter activity [GO:0034632]; signaling receptor activity [GO:0038023]	175
176	chromatin binding [GO:0003682]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; glucocorticoid receptor binding [GO:0035259]; identical protein binding [GO:0042802]; protein dimerization activity [GO:0046983]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	176
177	ubiquitin ligase-substrate adaptor activity [GO:1990756]	177
178	lipid binding [GO:0008289]	178
179	receptor antagonist activity [GO:0048019]; serine-type endopeptidase inhibitor activity [GO:0004867]; transforming growth factor beta binding [GO:0050431]	179
180	actin binding [GO:0003779]	180
181	arylsulfatase activity [GO:0004065]; metal ion binding [GO:0046872]; steryl-sulfatase activity [GO:0004773]; sulfuric ester hydrolase activity [GO:0008484]	181
182	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; identical protein binding [GO:0042802]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	182
183	actin binding [GO:0003779]; actin filament binding [GO:0051015]; ankyrin binding [GO:0030506]; structural constituent of cytoskeleton [GO:0005200]	183
184	3'-5' RNA helicase activity [GO:0034458]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0140603]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; double-stranded RNA binding [GO:0003725]; helicase activity [GO:0004386]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]	184
185	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; RNA binding [GO:0003723]	185
186	actin binding [GO:0003779]; cytoskeletal protein binding [GO:0008092]; insulin receptor binding [GO:0005158]; signaling receptor complex adaptor activity [GO:0030159]	186
187	CD4 receptor binding [GO:0042609]	187
