uniprot_entry	Gene name	Gene stable ID
Q9P1U0	POLR1H	ENSG00000066379
Q3B726	POLR1F	ENSG00000105849
Q9NV58	RNF19A	ENSG00000034677
P78346	RPP30	ENSG00000148688
Q9BUL9	RPP25	ENSG00000178718
Q8N6L0	KASH5	ENSG00000161609
Q8IUC0	KRTAP13-1	ENSG00000198390
P60368	KRTAP10-2	ENSG00000205445
P43629	KIR3DL1	ENSG00000275717
P43629	KIR3DL1	ENSG00000276379
P43629	KIR3DL1	ENSG00000277272
P43629	KIR3DL1	ENSG00000275786
P43629	KIR3DL1	ENSG00000276423
P43629	KIR3DL1	ENSG00000274948
P43629	KIR3DL1	ENSG00000276501
P43629	KIR3DL1	ENSG00000273775
P43629	KIR3DL1	ENSG00000275659
P43629	KIR3DL1	ENSG00000276329
P43629	KIR3DL1	ENSG00000273518
P43629	KIR3DL1	ENSG00000274920
P43629	KIR3DL1	ENSG00000275486
P43629	KIR3DL1	ENSG00000278079
P43629	KIR3DL1	ENSG00000275288
P43629	KIR3DL1	ENSG00000278856
P43629	KIR3DL1	ENSG00000278368
P43629	KIR3DL1	ENSG00000277175
P43629	KIR3DL1	ENSG00000278427
P43629	KIR3DL1	ENSG00000274146
P43629	KIR3DL1	ENSG00000274036
P43629	KIR3DL1	ENSG00000275545
P43629	KIR3DL1	ENSG00000284177
P43629	KIR3DL1	ENSG00000284589
P43629	KIR3DL1	ENSG00000283954
P43629	KIR3DL1	ENSG00000284426
P43629	KIR3DL1	ENSG00000284342
P43629	KIR3DL1	ENSG00000283729
P43629	KIR3DL1	ENSG00000283827
P43629	KIR3DL1	ENSG00000284093
P43629	KIR3DL1	ENSG00000283731
P43629	KIR3DL1	ENSG00000167633
Q6P1M3	LLGL2	ENSG00000073350
O14910	LIN7A	ENSG00000111052
Q6ZMV7	LEKR1	ENSG00000197980
P31025	LCN1	ENSG00000160349
Q6UWP7	LCLAT1	ENSG00000172954
P48163	ME1	ENSG00000065833
O60942	RNGTT	ENSG00000111880
A0A075B6I0	IGLV8-61	ENSG00000211638
Q8IW41	MAPKAPK5	ENSG00000089022
Q5TCX8	MAP3K21	ENSG00000143674
Q86YJ5	MARCHF9	ENSG00000139266
Q8NFP4	MDGA1	ENSG00000112139
Q7KZI7	MARK2	ENSG00000072518
Q68D85	NCR3LG1	ENSG00000188211
Q96KX0	LYZL4	ENSG00000157093
Q9NXC5	MIOS	ENSG00000164654
Q96PC5	MIA2	ENSG00000150527
Q96MC6	MFSD14A	ENSG00000156875
Q09327	MGAT3	ENSG00000128268
Q86XE3	MICU3	ENSG00000155970
Q9Y605	MRFAP1	ENSG00000179010
Q96H12	MSANTD3	ENSG00000066697
O95563	MPC2	ENSG00000143158
P49006	MARCKSL1	ENSG00000175130
Q14149	MORC3	ENSG00000159256
Q9NV56	MRGBP	ENSG00000101189
Q8TDS7	MRGPRD	ENSG00000172938
Q8N5Y2	MSL3	ENSG00000005302
O96033	MOCS2	ENSG00000164172
O96007	MOCS2	ENSG00000164172
Q8NCK7	SLC16A11	ENSG00000174326
Q99551	MTERF1	ENSG00000127989
B1AL46	NUTM2E	ENSG00000228570
Q8NGS3	OR1J1	ENSG00000136834
P03886	MT-ND1	ENSG00000198888
O95006	OR2F2	ENSG00000284965
O95006	OR2F2	ENSG00000221910
A6NHN0	OTOL1	ENSG00000182447
Q8WV22	NSMCE1	ENSG00000169189
Q96R09	OR5B2	ENSG00000172365
Q8NGA0	OR7G1	ENSG00000161807
Q8NH18	OR5J2	ENSG00000174957
Q8NGK1	OR51G1	ENSG00000278870
Q8NH55	OR52E5	ENSG00000277932
Q8NGZ0	OR2AJ1	ENSG00000177275
Q8NGR1	OR13A1	ENSG00000277495
Q8NGR1	OR13A1	ENSG00000256574
Q96SU4	OSBPL9	ENSG00000117859
Q8WWB5	PIH1D2	ENSG00000150773
Q9NRD5	PICK1	ENSG00000100151
P50542	PEX5	ENSG00000288217
P50542	PEX5	ENSG00000139197
O14494	PLPP1	ENSG00000067113
P55058	PLTP	ENSG00000100979
Q9UIG5	PSORS1C1	ENSG00000231094
Q9UIG5	PSORS1C1	ENSG00000235487
Q9UIG5	PSORS1C1	ENSG00000233439
Q9UIG5	PSORS1C1	ENSG00000233734
Q9UIG5	PSORS1C1	ENSG00000206458
Q9UIG5	PSORS1C1	ENSG00000204540
P23469	PTPRE	ENSG00000132334
O95456	PSMG1	ENSG00000183527
Q9Y3U8	RPL36	ENSG00000130255
Q969G2	LHX4	ENSG00000121454
A8MVA2	KRTAP9-6	ENSG00000263263
A8MVA2	KRTAP9-6	ENSG00000212659
P58180	OR4D2	ENSG00000255713
Q8NGP3	OR5M9	ENSG00000150269
P0DN80	OR5H8	ENSG00000232535
Q99623	PHB2	ENSG00000215021
O43688	PLPP2	ENSG00000141934
Q9Y3C6	PPIL1	ENSG00000137168
P20264	POU3F3	ENSG00000198914
O00764	PDXK	ENSG00000160209
P11086	PNMT	ENSG00000141744
Q9UBM1	PNMT	ENSG00000141744
Q9P212	PLCE1	ENSG00000138193
Q8NI37	PPTC7	ENSG00000196850
Q00889	PSG6	ENSG00000170848
O95997	PTTG1	ENSG00000164611
Q13332	PTPRS	ENSG00000105426
P0DJH9	RD3L	ENSG00000227729
Q9HBD1	RC3H2	ENSG00000056586
Q9UL26	RAB22A	ENSG00000124209
Q9H2T7	RANBP17	ENSG00000204764
Q6IQ22	RAB12	ENSG00000206418
P61019	RAB2A	ENSG00000104388
Q7Z6E9	RBBP6	ENSG00000122257
Q9NS91	RAD18	ENSG00000070950
P61006	RAB8A	ENSG00000167461
Q68EM7	ARHGAP17	ENSG00000288353
Q68EM7	ARHGAP17	ENSG00000140750
Q9NWB1	RBFOX1	ENSG00000078328
Q6PCD5	RFWD3	ENSG00000168411
P35250	RFC2	ENSG00000049541
P50120	RBP2	ENSG00000114113
O15034	RBP2	ENSG00000114113
P29375	RBP2	ENSG00000114113
Q9BZI7	UPF3B	ENSG00000125351
Q9H920	RNF121	ENSG00000137522
Q9Y508	RNF114	ENSG00000124226
Q96MT1	RNF145	ENSG00000145860
P36578	RPL4	ENSG00000174444
P12271	RLBP1	ENSG00000140522
Q68DV7	RNF43	ENSG00000108375
P47736	RAP1GAP	ENSG00000076864
P14678	SNRPB	ENSG00000125835
P62081	RPS7	ENSG00000171863
P82650	MRPS22	ENSG00000175110
Q8N4F4	SLC22A24	ENSG00000197658
Q8TBP6	SLC25A40	ENSG00000075303
O95156	NXPH2	ENSG00000144227
Q8N146	OR8H3	ENSG00000181761
Q9UKK6	NXT1	ENSG00000132661
P0C628	OR5AC1	ENSG00000213439
Q8NGK0	OR51G2	ENSG00000176893
Q6ZVC0	NYAP1	ENSG00000166924
Q96R47	OR2A14	ENSG00000284891
Q96R47	OR2A14	ENSG00000221938
Q8NGN4	OR10G9	ENSG00000236981
Q8NH73	OR4S2	ENSG00000174982
Q9ULC6	PADI1	ENSG00000281459
Q9ULC6	PADI1	ENSG00000142623
Q9Y5G2	PCDHGB2	ENSG00000253910
P0DN26	PPIAL4F	ENSG00000275974
P0DN26	PPIAL4F	ENSG00000279782
Q4G0U5	CFAP221	ENSG00000163075
Q8IY49	MMD2	ENSG00000136297
O95263	PDE8B	ENSG00000113231
P51160	PDE6C	ENSG00000095464
Q9NPG4	PCDH12	ENSG00000113555
Q9Y5E2	PCDHB7	ENSG00000113212
O15350	TP73	ENSG00000078900
Q15120	PDK3	ENSG00000067992
P23219	PTGS1	ENSG00000095303
Q9UKK3	PARP4	ENSG00000102699
Q86V59	PNMA8A	ENSG00000182013
O43316	PAX4	ENSG00000106331
Q8N4L2	PIP4P2	ENSG00000155099
Q15124	PGM5	ENSG00000154330
Q8N414	PGBD5	ENSG00000177614
P15309	ACP3	ENSG00000014257
Q9P1A2	PPP4R1L	ENSG00000124224
Q13401	PMS2P3	ENSG00000127957
Q13401	PMS2P3	ENSG00000291092
Q96BZ4	PLD4	ENSG00000166428
P40967	PMEL	ENSG00000185664
O15297	PPM1D	ENSG00000170836
Q02325	PLGLB1	ENSG00000183281
Q02325	PLGLB2	ENSG00000125551
P26678	PLN	ENSG00000198523
P13796	LCP1	ENSG00000136167
O14818	PSMA7	ENSG00000101182
P27918	CFP	ENSG00000126759
Q8N8Z3	DIP2C-AS1	ENSG00000180525
Q13046	PSG7	ENSG00000221878
O75832	PSMD10	ENSG00000101843
Q15262	PTPRK	ENSG00000273993
Q15262	PTPRK	ENSG00000152894
Q59GN2	RPL39P5	ENSG00000214289
A8MTL3	RNF212B	ENSG00000215277
Q6NUJ5	PWWP2B	ENSG00000171813
P01116	KRAS	ENSG00000133703
P48304	REG1B	ENSG00000172023
P04090	RLN2	ENSG00000107014
Q5U651	RASIP1	ENSG00000105538
Q15291	RBBP5	ENSG00000117222
Q9NYW8	RBAK	ENSG00000146587
P0C0E4	RAB40AL	ENSG00000102128
Q13123	IK	ENSG00000113141
Q7Z6P3	RAB44	ENSG00000255587
Q53QZ3	ARHGAP15	ENSG00000075884
Q96IC2	REXO5	ENSG00000005189
O14827	RASGRF2	ENSG00000113319
Q9H0H5	RACGAP1	ENSG00000161800
Q5W5W9	RESP18	ENSG00000182698
P10745	RBP3	ENSG00000265203
P52758	RIDA	ENSG00000132541
Q96L33	RHOV	ENSG00000104140
P18621	RPL17	ENSG00000265681
Q96EL3	MRPL53	ENSG00000204822
P62945	RPL41	ENSG00000229117
O15514	POLR2D	ENSG00000144231
Q8NGI6	OR4D10	ENSG00000254466
Q8NGP0	OR4C13	ENSG00000258817
Q8NGV6	OR5H6	ENSG00000230301
P48739	PITPNB	ENSG00000180957
O00264	PGRMC1	ENSG00000101856
Q5SV97	PERM1	ENSG00000187642
O15428	PIN1P1	ENSG00000229359
Q6NUP7	PPP4R4	ENSG00000278326
Q6NUP7	PPP4R4	ENSG00000119698
Q6XQN6	NAPRT	ENSG00000278488
Q6XQN6	NAPRT	ENSG00000147813
Q9H792	PEAK1	ENSG00000173517
Q8N7P1	PLD5	ENSG00000180287
Q5VZY2	PLPP4	ENSG00000203805
Q9Y244	POMP	ENSG00000132963
Q9P0L9	PKD2L1	ENSG00000107593
Q0VAA5	PLCXD2	ENSG00000240891
Q86YW0	PLCZ1	ENSG00000139151
Q9NRZ7	AGPAT3	ENSG00000160216
Q3B8N5	PROX2	ENSG00000119608
Q8N271	PROM2	ENSG00000155066
P21108	PRPS1L1	ENSG00000229937
P28072	PSMB6	ENSG00000142507
Q9BRX5	GINS3	ENSG00000181938
O00232	PSMD12	ENSG00000197170
Q9Y3L5	RAP2C	ENSG00000123728
Q6UW15	REG3G	ENSG00000143954
A0A1B0GV85	REELD1	ENSG00000250673
Q9P260	RELCH	ENSG00000134444
Q7Z6M1	RABEPK	ENSG00000136933
Q14964	RAB39A	ENSG00000179331
Q6ZRY4	RBPMS2	ENSG00000166831
P20339	RAB5A	ENSG00000144566
O14559	ARHGAP33	ENSG00000004777
A6NI28	ARHGAP42	ENSG00000165895
Q96EV2	RBM33	ENSG00000184863
O14924	RGS12	ENSG00000159788
O94955	RHOBTB3	ENSG00000164292
Q92963	RIT1	ENSG00000143622
Q9C0K0	RIT1	ENSG00000143622
Q96L21	RPL10L	ENSG00000165496
Q96DV4	MRPL38	ENSG00000204316
Q7L0R7	RNF44	ENSG00000146083
Q969K3	RNF34	ENSG00000170633
Q96GF1	RNF185	ENSG00000138942
Q96T23	RSF1	ENSG00000048649
Q9NPB1	NT5M	ENSG00000205309
Q9NZP2	OR6C2	ENSG00000179695
Q8NGR9	OR1N2	ENSG00000171501
Q8NGL3	OR5D14	ENSG00000186113
P47883	OR3A4P	ENSG00000180068
Q9P121	NTM	ENSG00000182667
Q13492	PICALM	ENSG00000073921
P78356	PIP4K2B	ENSG00000277292
P78356	PIP4K2B	ENSG00000276293
Q8TCD6	PHOSPHO2	ENSG00000144362
Q9BSJ6	PIMREG	ENSG00000129195
Q5SRE7	PHYHD1	ENSG00000175287
O60486	PLXNC1	ENSG00000136040
P16112	ACAN	ENSG00000157766
P30086	PEBP1	ENSG00000089220
Q8IXQ8	PDZD9	ENSG00000284316
Q8IXQ8	PDZD9	ENSG00000155714
O15031	PLXNB2	ENSG00000196576
O95744	PMS2P2	ENSG00000278416
Q8TCS8	PNPT1	ENSG00000138035
Q9UG56	PISD	ENSG00000241878
Q8NG27	PJA1	ENSG00000181191
Q6MZQ0	PRR5L	ENSG00000135362
Q15147	PLCB4	ENSG00000101333
Q86WR7	PROSER2	ENSG00000148426
Q6ZRP0	PRR23C	ENSG00000233701
O75360	PROP1	ENSG00000280635
O75360	PROP1	ENSG00000274382
O75360	PROP1	ENSG00000175325
B1ATL7	PRR32	ENSG00000183631
P79522	PRR3	ENSG00000223887
P79522	PRR3	ENSG00000228186
P79522	PRR3	ENSG00000223766
P79522	PRR3	ENSG00000229202
P79522	PRR3	ENSG00000233564
P79522	PRR3	ENSG00000206491
P79522	PRR3	ENSG00000204576
Q9NQS3	PRR3	ENSG00000223887
Q9NQS3	PRR3	ENSG00000228186
Q9NQS3	PRR3	ENSG00000223766
Q9NQS3	PRR3	ENSG00000229202
Q9NQS3	PRR3	ENSG00000233564
Q9NQS3	PRR3	ENSG00000206491
Q9NQS3	PRR3	ENSG00000204576
O60828	PQBP1	ENSG00000102103
Q9NQV6	PRDM10	ENSG00000170325
Q5VV67	PPRC1	ENSG00000148840
P57071	PRDM15	ENSG00000141956
Q9NYI0	PSD3	ENSG00000156011
P22234	PAICS	ENSG00000128050
Q96A99	PTX4	ENSG00000251692
Q06323	PSME1	ENSG00000284916
Q06323	PSME1	ENSG00000092010
A0A096LP55	UQCRHL	ENSG00000233954
Q14644	RASA3	ENSG00000280477
Q14644	RASA3	ENSG00000185989
O14807	MRAS	ENSG00000158186
Q15415	RBMY1F	ENSG00000169800
Q15415	RBMY1J	ENSG00000226941
P04808	RLN1	ENSG00000107018
Q96S59	RANBP9	ENSG00000010017
Q96P70	RANBP9	ENSG00000010017
Q9NX57	RAB20	ENSG00000139832
Q9UNA1	ARHGAP26	ENSG00000145819
O75677	RFPL1	ENSG00000128250
P49796	RGS3	ENSG00000138835
Q9UFD9	RIMBP3	ENSG00000275793
Q8NFH8	REPS2	ENSG00000169891
Q9BYD3	MRPL4	ENSG00000105364
O75792	RNASEH2A	ENSG00000104889
Q6ZMZ0	RNF19B	ENSG00000116514
P07998	RNASE1	ENSG00000129538
Q86VF7	NRAP	ENSG00000197893
Q8NGN1	OR6T1	ENSG00000181499
Q9GZY6	LAT2	ENSG00000086730
Q9UHI5	LAT2	ENSG00000086730
Q8NH64	OR51A7	ENSG00000176895
A6NHA9	OR4C46	ENSG00000185926
Q9H255	OR51E2	ENSG00000167332
P78380	OLR1	ENSG00000173391
Q9H341	OR51M1	ENSG00000184698
Q8IWE2	FAM114A1	ENSG00000197712
Q86UW2	SLC51B	ENSG00000186198
Q8NGF3	OR51D1	ENSG00000197428
Q8N2R0	OSR2	ENSG00000164920
P56373	P2RX3	ENSG00000109991
Q8NGI3	OR56B1	ENSG00000181023
Q8TCB6	OR51E1	ENSG00000180785
A6NIJ9	OR6C70	ENSG00000184954
P02818	BGLAP	ENSG00000242252
A6ND48	OR14I1	ENSG00000189181
Q8NGF9	OR4X2	ENSG00000172208
Q9HBE1	PATZ1	ENSG00000100105
Q92535	PIGC	ENSG00000135845
Q8N6C7	MIR7-3HG	ENSG00000176840
Q02962	PAX2	ENSG00000075891
Q9Y6X2	PIAS3	ENSG00000131788
Q14863	POU6F1	ENSG00000184271
Q6P3X8	PGBD2	ENSG00000185220
P20618	PSMB1	ENSG00000281184
P20618	PSMB1	ENSG00000008018
P60673	PFN3	ENSG00000196570
Q99946	PRRT1	ENSG00000238056
Q99946	PRRT1	ENSG00000229071
Q99946	PRRT1	ENSG00000225141
Q99946	PRRT1	ENSG00000235956
Q99946	PRRT1	ENSG00000227122
Q99946	PRRT1	ENSG00000229488
Q99946	PRRT1	ENSG00000206331
Q99946	PRRT1	ENSG00000204314
Q16849	PTPRN	ENSG00000054356
P10586	PTPRF	ENSG00000142949
Q15008	PSMD6	ENSG00000163636
P11217	PYGM	ENSG00000068976
P06737	PYGL	ENSG00000100504
A1KZ92	PXDNL	ENSG00000147485
P18754	RCC1	ENSG00000180198
Q15293	RCN1	ENSG00000049449
Q15382	RHEB	ENSG00000106615
O14966	RAB29	ENSG00000117280
Q15771	RAB30	ENSG00000137502
Q17R89	ARHGAP44	ENSG00000006740
P51149	RAB7A	ENSG00000075785
Q5JT25	RAB41	ENSG00000147127
Q86YS6	RAB41	ENSG00000147127
P0DJD1	RGPD2	ENSG00000185304
Q6ZWI9	RFPL4B	ENSG00000251258
Q5UIP0	RIF1	ENSG00000080345
Q5T3J3	RIF1	ENSG00000080345
Q9Y581	RIF1	ENSG00000080345
P26373	RPL13	ENSG00000167526
P61353	RPL27	ENSG00000131469
Q9Y535	POLR3H	ENSG00000100413
Q9UHV5	RAPGEFL1	ENSG00000108352
A6NCQ9	RNF222	ENSG00000189051
P32242	OTX1	ENSG00000115507
Q15620	OR8B8	ENSG00000197125
O00628	PEX7	ENSG00000112357
Q6UXB8	PI16	ENSG00000164530
Q96RG2	PASK	ENSG00000115687
Q9NQ66	PLCB1	ENSG00000182621
Q99633	PRPF18	ENSG00000165630
Q92786	PROX1	ENSG00000117707
Q86XR5	PRIMA1	ENSG00000274089
Q86XR5	PRIMA1	ENSG00000175785
Q96QR8	PURB	ENSG00000146676
P06401	PGR	ENSG00000082175
O15067	PFAS	ENSG00000178921
Q14914	PTGR1	ENSG00000106853
Q9UMZ3	PTPRQ	ENSG00000139304
Q15256	PTPRQ	ENSG00000139304
P35236	PTPN7	ENSG00000143851
P01270	PTH	ENSG00000152266
Q6ISU1	PTCRA	ENSG00000171611
Q3MIT2	PUS10	ENSG00000162927
Q2TAK8	PWWP3A	ENSG00000160953
Q7Z4M0	REC114	ENSG00000183324
Q9H6Z4	RANBP3	ENSG00000031823
P60763	RAC3	ENSG00000169750
Q9Y6Q9	RAC3	ENSG00000169750
Q9NRW1	RAB6B	ENSG00000154917
Q9GZR2	REXO4	ENSG00000280706
Q9GZR2	REXO4	ENSG00000148300
Q6ZVN8	HJV	ENSG00000168509
Q7Z5H3	ARHGAP22	ENSG00000128805
P41220	RGS2	ENSG00000116741
P48378	RFX2	ENSG00000087903
A6NFN3	RBFOX3	ENSG00000167281
O00212	RHOD	ENSG00000173156
Q6BDI9	REP15	ENSG00000174236
P61586	RHOA	ENSG00000067560
Q6NUM9	RETSAT	ENSG00000042445
Q9BWE0	REPIN1	ENSG00000214022
P61254	RPL26	ENSG00000161970
Q9BYC8	MRPL32	ENSG00000106591
Q6P1L8	MRPL32	ENSG00000106591
Q9BYD6	MRPL1	ENSG00000169288
Q15070	OXA1L	ENSG00000155463
Q96R48	OR2A5	ENSG00000284896
Q96R48	OR2A5	ENSG00000221836
Q8NGG7	OR8A1	ENSG00000196119
O76000	OR2B3	ENSG00000233054
O76000	OR2B3	ENSG00000226832
O76000	OR2B3	ENSG00000231319
O76000	OR2B3	ENSG00000233687
O76000	OR2B3	ENSG00000233180
O76000	OR2B3	ENSG00000225736
O76000	OR2B3	ENSG00000206524
O76000	OR2B3	ENSG00000204703
O00168	FXYD1	ENSG00000266964
Q13670	PMS2P11	ENSG00000241350
Q96Q06	PLIN4	ENSG00000167676
P53041	PPP5C	ENSG00000011485
O75817	POP7	ENSG00000172336
O43660	PLRG1	ENSG00000171566
Q8NEB9	PIK3C3	ENSG00000078142
P16298	PPP3CB	ENSG00000107758
Q15435	PPP1R7	ENSG00000115685
Q99943	AGPAT1	ENSG00000236873
Q99943	AGPAT1	ENSG00000226467
Q99943	AGPAT1	ENSG00000206324
Q99943	AGPAT1	ENSG00000227642
Q99943	AGPAT1	ENSG00000228892
Q99943	AGPAT1	ENSG00000235758
Q99943	AGPAT1	ENSG00000204310
Q9NWT1	PAK1IP1	ENSG00000285226
Q9NWT1	PAK1IP1	ENSG00000111845
P81277	PRLH	ENSG00000071677
Q7Z5A4	PRSS42P	ENSG00000178055
Q8IV56	PRR15	ENSG00000176532
Q9NRI7	PPY2P	ENSG00000265060
Q9NRI7	PPY2P	ENSG00000290672
A8MZF0	PRR33	ENSG00000288160
A8MZF0	PRR33	ENSG00000283787
Q99436	PSMB7	ENSG00000136930
Q9BXM0	PRX	ENSG00000105227
Q9NQV8	PRDM8	ENSG00000152784
Q96I23	PYURF	ENSG00000145337
Q13635	PTCH1	ENSG00000185920
Q13882	PTK6	ENSG00000101213
Q9Y272	RASD1	ENSG00000108551
Q92698	RAD54L	ENSG00000085999
P46100	RAD54L	ENSG00000085999
Q8IZ40	RCOR2	ENSG00000167771
Q9NW64	RBM22	ENSG00000086589
Q13972	RASGRF1	ENSG00000058335
Q9NS28	RGS18	ENSG00000150681
Q9NS28	RGS13	ENSG00000127074
O14921	RGS13	ENSG00000127074
Q9BWJ2	RHPN1-AS1	ENSG00000254389
Q8WZ73	RFFL	ENSG00000092871
Q9UBD6	RHCG	ENSG00000140519
O43566	RGS14	ENSG00000169220
Q9BSD3	RHNO1	ENSG00000171792
Q5TAB7	RIPPLY2	ENSG00000203877
A6NNM3	RIMBP3B	ENSG00000274600
Q8TEB7	RNF128	ENSG00000133135
P36954	POLR2I	ENSG00000105258
Q9NW08	POLR3B	ENSG00000013503
O15446	POLR1G	ENSG00000117877
O15446	CAST	ENSG00000153113
P20810	CAST	ENSG00000153113
O15318	POLR3G	ENSG00000113356
