mature_id	gene_name	score
hsa-miR-1276	STXBP5	0.189
hsa-miR-1276	ASPG	0.186
hsa-miR-1276	MTCH2	0.46
hsa-miR-1276	GPC3	0.205
hsa-miR-1276	ARL4A	0.589
hsa-miR-1276	PPP4R3B	0.197
hsa-miR-6499-3p	PIGX	0.104
hsa-miR-6499-3p	ARL4A	0.388
hsa-miR-6499-3p	STXBP5	0.352
hsa-miR-6499-3p	RASA1	0.02
hsa-miR-6499-3p	ASPG	0.572
hsa-miR-6499-3p	GPC3	0.093
hsa-miR-2276-3p	ASPG	0.199
hsa-miR-2276-3p	PPP4R3B	0.029
hsa-miR-2276-3p	RASA1	0.054
hsa-miR-3120-3p	ARL4A	0.551
hsa-miR-3120-3p	ASPG	0.154
hsa-miR-3120-3p	PIGX	0.181
hsa-miR-3120-3p	GPC3	0.464
hsa-miR-3120-3p	TAF1A	0.647
hsa-miR-3120-3p	STXBP5	0.208
hsa-miR-3120-3p	RASA1	0.156
hsa-miR-3120-3p	MTCH2	0.474
hsa-miR-3120-3p	PPP4R3B	0.249
hsa-miR-6780b-5p	MTCH2	0.229
hsa-miR-6780b-5p	ASPG	0.101
hsa-miR-6780b-5p	STXBP5	0.102
hsa-miR-6780b-5p	RASA1	0.363
hsa-miR-6780b-5p	PPP4R3B	0.118
hsa-miR-6780b-5p	PIGX	0.185
hsa-miR-6780b-5p	ARL4A	0.085
hsa-miR-6780b-5p	MEPE	0.406
hsa-miR-4769-5p	PPP4R3B	0.003
hsa-miR-4769-5p	STXBP5	0.035
hsa-miR-4769-5p	RASA1	0.042
hsa-miR-4769-5p	ASPG	0.044
hsa-miR-1306-5p	ASPG	0.418
hsa-miR-1306-5p	PPP4R3B	0.451
hsa-miR-1306-5p	ARL4A	0.035
hsa-miR-1306-5p	STXBP5	0.094
hsa-miR-1306-5p	PIGX	0.025
hsa-miR-1306-5p	TAF1A	0.621
hsa-miR-1306-5p	MTCH2	0.043
hsa-miR-519b-3p	STXBP5	0.1
hsa-miR-519b-3p	RASA1	0.201
hsa-miR-519b-3p	TAF1A	0.161
hsa-miR-519b-3p	ARL4A	0.031
hsa-miR-489-3p	ARL4A	0.034
hsa-miR-23a-3p	STXBP5	0.15
hsa-miR-23a-3p	ARL4A	0.09
hsa-miR-23a-3p	RASA1	0.12
hsa-miR-23a-3p	PIGX	0.255
hsa-miR-23a-3p	GPC3	0.05
hsa-miR-6796-5p	STXBP5	0.177
hsa-miR-6796-5p	ASPG	0.131
hsa-miR-6796-5p	GPC3	0.437
hsa-miR-6796-5p	RASA1	0.227
hsa-miR-6796-5p	MEPE	0.095
hsa-miR-6796-5p	TAF1A	0.182
hsa-miR-6796-5p	ARL4A	0.011
hsa-miR-6796-5p	MTCH2	0.281
hsa-miR-675-3p	RASA1	0.152
hsa-miR-675-3p	TAF1A	0.485
hsa-miR-675-3p	STXBP5	0.093
hsa-miR-675-3p	ASPG	0.649
hsa-miR-675-3p	PPP4R3B	0.287
hsa-miR-675-3p	PIGX	0.2
hsa-miR-675-3p	ARL4A	0.936
hsa-miR-2110	STXBP5	0.587
hsa-miR-2110	ASPG	0.201
hsa-miR-2110	PIGX	0.155
hsa-miR-2110	RASA1	0.167
hsa-miR-2110	MTCH2	0.317
hsa-miR-2110	PPP4R3B	0.552
hsa-miR-2110	GPC3	0.182
hsa-miR-2110	ARL4A	0.028
hsa-miR-2110	MEPE	0.948
hsa-miR-2110	TAF1A	0.269
hsa-miR-1269a	MTCH2	0.534
hsa-miR-1269a	TAF1A	0.319
hsa-miR-1269a	ARL4A	0.617
hsa-miR-1269a	STXBP5	0.372
hsa-miR-1269a	RASA1	0.304
hsa-miR-1269a	ASPG	0.203
hsa-miR-1269a	PPP4R3B	0.379
hsa-miR-1269a	PIGX	0.212
hsa-miR-1269a	GPC3	0.25
hsa-miR-1269a	MEPE	0.082
hsa-miR-483-3p	PPP4R3B	0.061
hsa-miR-483-3p	PIGX	0.262
hsa-miR-483-3p	ASPG	0.38
hsa-miR-483-3p	RASA1	0.124
hsa-miR-483-3p	MEPE	0.965
hsa-miR-483-3p	MTCH2	0.196
hsa-miR-4659a-3p	STXBP5	0.095
hsa-miR-146a-5p	STXBP5	0.107
hsa-miR-146a-5p	RASA1	0.157
hsa-miR-146a-5p	ASPG	0.299
hsa-miR-146a-5p	PPP4R3B	0.439
hsa-miR-146a-5p	PIGX	0.076
hsa-miR-1289	STXBP5	0.071
hsa-miR-1289	PIGX	0.117
hsa-miR-563	PIGX	0.106
hsa-miR-563	ARL4A	0.146
hsa-miR-563	STXBP5	0.342
hsa-miR-563	ASPG	0.787
hsa-miR-563	PPP4R3B	0.894
hsa-miR-563	RASA1	0.146
hsa-miR-425-3p	ASPG	0.043
hsa-miR-425-3p	RASA1	0.208
hsa-miR-4474-3p	STXBP5	0.137
hsa-miR-4474-3p	ASPG	0.088
hsa-miR-4474-3p	PPP4R3B	0.248
hsa-miR-4474-3p	PIGX	0.056
hsa-miR-4474-3p	TAF1A	0.083
hsa-miR-4474-3p	RASA1	0.044
hsa-miR-4474-3p	MEPE	0.217
hsa-miR-5002-5p	STXBP5	0.011
hsa-miR-5002-5p	PIGX	0.038
hsa-miR-3672	PPP4R3B	0.042
hsa-let-7a-3p	RASA1	0.063
hsa-let-7a-3p	PPP4R3B	0.637
hsa-let-7a-3p	MEPE	0.074
hsa-let-7a-3p	ARL4A	0.085
hsa-let-7a-3p	ASPG	0.421
hsa-miR-4488	STXBP5	0.834
hsa-miR-4488	RASA1	1.711
hsa-miR-4488	ASPG	0.539
hsa-miR-4488	PIGX	0.386
hsa-miR-4488	MTCH2	0.493
hsa-miR-4488	PPP4R3B	1.43
hsa-miR-3691-5p	TAF1A	0.042
hsa-miR-3691-5p	STXBP5	0.149
hsa-miR-3691-5p	RASA1	0.062
hsa-miR-3688-5p	ARL4A	0.028
hsa-miR-3688-5p	RASA1	0.223
hsa-miR-3688-5p	PPP4R3B	0.095
hsa-miR-3688-5p	STXBP5	0.339
hsa-miR-3688-5p	MTCH2	0.119
hsa-miR-3688-5p	PIGX	0.179
hsa-miR-3688-5p	ASPG	0.04
hsa-miR-3688-5p	TAF1A	0.556
hsa-miR-532-3p	STXBP5	0.139
hsa-miR-532-3p	PPP4R3B	0.249
hsa-miR-532-3p	ARL4A	0.029
hsa-miR-532-3p	ASPG	0.148
hsa-miR-532-3p	PIGX	0.014
hsa-miR-4747-5p	STXBP5	0.159
hsa-miR-4747-5p	RASA1	0.098
hsa-miR-4747-5p	PPP4R3B	0.005
hsa-miR-4747-5p	PIGX	0.173
hsa-miR-4747-5p	ARL4A	0.176
hsa-miR-4747-5p	ASPG	0.015
hsa-miR-4747-5p	MTCH2	0.275
hsa-miR-6813-3p	STXBP5	0.201
hsa-miR-6813-3p	ASPG	0.122
hsa-miR-6813-3p	ARL4A	0.015
hsa-miR-6813-3p	MTCH2	0.689
hsa-miR-6813-3p	PPP4R3B	0.246
hsa-miR-6813-3p	PIGX	0.296
hsa-miR-6813-3p	TAF1A	0.214
hsa-miR-6813-3p	RASA1	0.112
hsa-miR-6813-3p	MEPE	0.501
hsa-miR-3150b-3p	RASA1	0.091
hsa-miR-3150b-3p	ASPG	0.237
hsa-miR-3150b-3p	ARL4A	0.555
hsa-miR-3150b-3p	STXBP5	0.298
hsa-miR-3150b-3p	MTCH2	0.327
hsa-miR-3150b-3p	PPP4R3B	0.499
hsa-miR-3150b-3p	GPC3	0.455
hsa-miR-3150b-3p	TAF1A	0.155
hsa-miR-3150b-3p	MEPE	0.759
hsa-miR-3150b-3p	PIGX	0.219
hsa-miR-6858-5p	RASA1	0.093
hsa-miR-6858-5p	ASPG	0.29
hsa-miR-6858-5p	MEPE	0.609
hsa-miR-6858-5p	ARL4A	0.036
hsa-miR-6858-5p	MTCH2	0.39
hsa-miR-6858-5p	PPP4R3B	0.312
hsa-miR-6768-3p	ASPG	0.017
hsa-miR-6768-3p	ARL4A	0.025
hsa-miR-6768-3p	PPP4R3B	0.08
hsa-miR-4797-3p	ASPG	0.115
hsa-miR-4797-3p	PIGX	0.305
hsa-miR-4797-3p	STXBP5	0.2
hsa-miR-4797-3p	ARL4A	0.053
hsa-miR-4797-3p	RASA1	0.045
hsa-miR-4797-3p	MEPE	0.225
hsa-miR-4797-3p	MTCH2	0.48
hsa-miR-4797-3p	PPP4R3B	0.561
hsa-miR-4684-5p	STXBP5	0.425
hsa-miR-4684-5p	ARL4A	0.064
hsa-miR-4684-5p	ASPG	0.335
hsa-miR-4684-5p	PPP4R3B	0.158
hsa-miR-4684-5p	PIGX	0.081
hsa-miR-4684-5p	TAF1A	0.047
hsa-miR-4638-5p	ASPG	0.195
hsa-miR-4638-5p	TAF1A	0.128
hsa-miR-4638-5p	RASA1	0.105
hsa-miR-4638-5p	PPP4R3B	0.184
hsa-miR-4638-5p	PIGX	0.066
hsa-miR-4638-5p	ARL4A	0.325
hsa-miR-4300	MEPE	0.115
hsa-miR-4300	GPC3	0.261
hsa-miR-4300	ARL4A	0.165
hsa-miR-4300	RASA1	0.828
hsa-miR-4300	STXBP5	0.34
hsa-miR-4300	MTCH2	0.853
hsa-miR-4300	PPP4R3B	0.686
hsa-miR-4300	PIGX	0.883
hsa-miR-4300	ASPG	0.327
hsa-miR-6868-3p	MTCH2	0.827
hsa-miR-6868-3p	STXBP5	0.587
hsa-miR-6868-3p	PIGX	0.069
hsa-miR-6868-3p	MEPE	0.005
hsa-miR-6868-3p	PPP4R3B	0.163
hsa-miR-101-5p	PIGX	0.091
hsa-miR-101-5p	STXBP5	0.085
hsa-miR-101-5p	ARL4A	0.019
hsa-miR-4650-3p	RASA1	0.511
hsa-miR-4650-3p	PIGX	0.19
hsa-miR-4650-3p	STXBP5	0.229
hsa-miR-4650-3p	MTCH2	0.27
hsa-miR-4650-3p	GPC3	0.377
hsa-miR-4650-3p	ARL4A	0.67
hsa-miR-4650-3p	ASPG	0.243
hsa-miR-4650-3p	MEPE	0.17
hsa-miR-4650-3p	PPP4R3B	0.234
hsa-miR-6771-3p	ASPG	0.082
hsa-miR-6771-3p	PIGX	0.223
hsa-miR-6771-3p	ARL4A	0.016
hsa-miR-6748-3p	ASPG	0.514
hsa-miR-6748-3p	STXBP5	0.29
hsa-miR-6748-3p	ARL4A	0.43
hsa-miR-6748-3p	MEPE	0.423
hsa-miR-6748-3p	MTCH2	0.424
hsa-miR-6748-3p	PIGX	0.17
hsa-miR-6748-3p	GPC3	0.065
hsa-miR-6748-3p	TAF1A	0.34
hsa-miR-6748-3p	RASA1	0.375
hsa-miR-6748-3p	PPP4R3B	0.391
hsa-miR-1248	RASA1	0.755
hsa-miR-1248	ARL4A	0.054
hsa-miR-1248	ASPG	0.152
hsa-miR-4463	ASPG	0.528
hsa-miR-4463	MTCH2	0.54
hsa-miR-4463	ARL4A	0.475
hsa-miR-4463	RASA1	0.901
hsa-miR-4463	PIGX	0.255
hsa-miR-4463	STXBP5	0.389
hsa-miR-4463	PPP4R3B	0.852
hsa-miR-4463	GPC3	0.409
hsa-miR-4463	TAF1A	0.403
hsa-miR-6794-5p	ASPG	0.274
hsa-miR-6794-5p	TAF1A	0.125
hsa-miR-6794-5p	PPP4R3B	0.724
hsa-miR-6794-5p	PIGX	0.187
hsa-miR-6794-5p	ARL4A	0.024
hsa-miR-6794-5p	STXBP5	0.691
hsa-miR-6794-5p	RASA1	0.251
hsa-miR-6794-5p	MEPE	0.869
hsa-miR-6794-5p	MTCH2	0.261
hsa-miR-4763-5p	TAF1A	0.211
hsa-miR-4763-5p	ARL4A	0.335
hsa-miR-4763-5p	RASA1	0.114
hsa-miR-4763-5p	ASPG	0.455
hsa-miR-4763-5p	MTCH2	0.347
hsa-miR-4763-5p	PIGX	0.211
hsa-miR-4763-5p	STXBP5	0.202
hsa-miR-4763-5p	MEPE	0.405
hsa-miR-4763-5p	GPC3	0.015
hsa-miR-4763-5p	PPP4R3B	0.274
hsa-miR-6132	ASPG	1.373
hsa-miR-6132	STXBP5	0.323
hsa-miR-6132	RASA1	0.254
hsa-miR-6132	PPP4R3B	0.471
hsa-miR-6132	PIGX	0.28
hsa-miR-6132	ARL4A	0.16
hsa-miR-1306-3p	RASA1	0.282
hsa-miR-1306-3p	STXBP5	0.315
hsa-miR-1306-3p	MEPE	0.566
hsa-miR-1306-3p	PIGX	0.171
hsa-miR-1306-3p	GPC3	1.013
hsa-miR-1306-3p	ARL4A	0.175
hsa-miR-1306-3p	ASPG	0.354
hsa-miR-1306-3p	PPP4R3B	0.597
hsa-miR-579-5p	STXBP5	0.076
hsa-miR-579-5p	RASA1	0.013
hsa-miR-579-5p	PPP4R3B	0.198
hsa-miR-3917	ASPG	0.242
hsa-miR-3917	STXBP5	0.4
hsa-miR-3917	RASA1	0.182
hsa-miR-3917	PIGX	0.284
hsa-miR-3917	TAF1A	0.828
hsa-miR-3917	GPC3	0.949
hsa-miR-4793-3p	STXBP5	0.065
hsa-miR-4793-3p	ASPG	0.019
hsa-miR-4793-3p	MEPE	0.131
hsa-miR-4793-3p	PIGX	0.025
hsa-miR-575	ASPG	0.323
hsa-miR-575	GPC3	0.5
hsa-miR-575	TAF1A	1.144
hsa-miR-575	ARL4A	0.571
hsa-miR-575	STXBP5	0.775
hsa-miR-575	RASA1	0.251
hsa-miR-575	PPP4R3B	0.882
hsa-miR-575	PIGX	0.638
hsa-miR-575	MEPE	1.648
hsa-miR-575	MTCH2	0.51
hsa-miR-496	TAF1A	0.011
hsa-miR-496	PIGX	0.012
hsa-miR-496	STXBP5	0.208
hsa-miR-496	RASA1	0.098
hsa-miR-496	PPP4R3B	0.067
hsa-miR-496	ARL4A	0.067
hsa-miR-496	ASPG	0.061
hsa-miR-320c	STXBP5	0.194
hsa-miR-320c	ASPG	0.09
hsa-miR-320c	MTCH2	0.467
hsa-miR-320c	PIGX	0.052
hsa-miR-320c	RASA1	0.073
hsa-miR-6818-3p	RASA1	0.001
hsa-miR-6818-3p	PIGX	0.001
hsa-miR-6818-3p	MEPE	0.131
hsa-miR-3162-3p	ASPG	0.265
hsa-miR-3162-3p	STXBP5	0.669
hsa-miR-3162-3p	ARL4A	0.114
hsa-miR-3162-3p	PPP4R3B	0.514
hsa-miR-3162-3p	PIGX	0.266
hsa-miR-3162-3p	TAF1A	0.294
hsa-miR-3162-3p	MEPE	0.842
hsa-miR-3162-3p	MTCH2	0.464
hsa-miR-3162-3p	GPC3	0.512
hsa-miR-3162-3p	RASA1	0.35
hsa-miR-661	ASPG	0.1
hsa-miR-661	MTCH2	0.082
hsa-miR-661	STXBP5	0.108
hsa-miR-661	RASA1	0.046
hsa-miR-661	PPP4R3B	0.109
hsa-miR-661	PIGX	0.226
hsa-miR-5705	ASPG	0.03
hsa-miR-5705	PIGX	0.041
hsa-miR-6767-3p	ASPG	0.052
hsa-miR-6767-3p	STXBP5	0.231
hsa-miR-6767-3p	RASA1	0.056
hsa-miR-6767-3p	MTCH2	0.269
hsa-miR-6767-3p	PPP4R3B	0.113
hsa-miR-6767-3p	PIGX	0.204
hsa-miR-6767-3p	GPC3	0.359
hsa-miR-6767-3p	TAF1A	0.523
hsa-miR-4722-5p	ASPG	0.389
hsa-miR-4722-5p	ARL4A	0.018
hsa-miR-4722-5p	STXBP5	0.008
hsa-miR-4722-5p	RASA1	0.052
hsa-miR-4722-5p	TAF1A	0.087
hsa-miR-4722-5p	MTCH2	0.004
hsa-miR-4477a	ARL4A	0.074
hsa-miR-4477a	STXBP5	0.22
hsa-miR-4477a	RASA1	0.048
hsa-miR-4477a	PIGX	0.148
hsa-miR-4477a	MEPE	0.601
hsa-miR-375	ASPG	0.126
hsa-miR-375	PIGX	0.106
hsa-miR-375	RASA1	0.007
hsa-miR-375	ARL4A	0.902
hsa-miR-375	PPP4R3B	0.352
hsa-miR-424-3p	RASA1	0.06
hsa-miR-424-3p	ARL4A	0.066
hsa-miR-424-3p	STXBP5	0.074
hsa-miR-424-3p	PPP4R3B	0.152
hsa-miR-499b-3p	TAF1A	0.139
hsa-miR-499b-3p	ARL4A	0.099
hsa-miR-499b-3p	STXBP5	0.365
hsa-miR-499b-3p	RASA1	0.129
hsa-miR-499b-3p	PPP4R3B	0.22
hsa-miR-499b-3p	PIGX	0.507
hsa-miR-499b-3p	GPC3	0.359
hsa-miR-499b-3p	MEPE	0.128
hsa-miR-1238-5p	ARL4A	0.031
hsa-miR-1238-5p	STXBP5	0.13
hsa-miR-1238-5p	RASA1	0.07
hsa-miR-1238-5p	ASPG	0.142
hsa-miR-1238-5p	MTCH2	0.615
hsa-miR-1238-5p	PPP4R3B	0.26
hsa-miR-1238-5p	PIGX	0.16
hsa-miR-1238-5p	GPC3	0.274
hsa-miR-1238-5p	MEPE	0.01
